,SP5448_07710
SRX1726505,-0.21131618630000001
SRX1726506,0.1885328742
SRX1726507,0.0227833121
SRX1726508,-0.2062919939
SRX1726509,-0.2588080404
SRX1726510,0.9511284485
SRX1726511,-0.6535511352000001
SRX1726512,-0.6961417914
SRX1726513,0.36319928830000003
SRX1081650,0.4564287966
SRX1081651,0.2525927763
SRX1081652,-0.5445859150000001
SRX1081653,0.6124482108
SRX1081654,-0.1691417146
SRX1081655,-0.5081158072
SRX1081656,-0.0155711359
SRX1081657,-0.6105309231
SRX1081658,-1.3150863315
SRX1081659,1.0094292747
SRX1081660,0.5779218835000001
SRX1081661,-0.2914782863
SRX1081662,-0.0365204758
SRX1081663,-0.6371246546
SRX1081664,-0.0305717221
SRX1081665,0.9035368809000001
SRX1081666,0.1804859891
SRX1081668,0.6521594269000001
SRX1081669,0.2996030088
SRX1081670,-0.4119141045
SRX1081671,-0.3739651771
SRX1081672,-1.5503033545
SRX1081673,-0.0333720421
SRX1081674,-0.1429225903
SRX1081675,-0.5109229229
SRX1081676,1.6665581755
SRX1081677,-0.4481779026
SRX1081678,-0.4817783906
SRX1081679,-0.6853228556000001
SRX1081680,-1.8490343547
SRX1081681,-0.23703575500000001
SRX1081682,-0.4920397722
SRX1081683,-0.5894688253
SRX1081684,0.0417055811
SRX1081685,-1.2931439932
SRX1081686,-0.45086087010000003
SRX1081687,-0.3323219224
SRX1081688,-2.1346491209
SRX1081689,-0.6839807553
SRX1081690,-0.6868514559000001
SRX1081691,-0.8887886603
SRX1081692,-0.7616468597
SRX1962715,0.09651050230000001
SRX1962716,-0.12490737340000001
SRX1962717,0.028396871100000002
SRX1962718,4.2694617876
SRX1962719,4.6903156852
SRX1962720,4.7951916781
SRX1962721,4.7061197915
SRX4892146,-0.1887225001
SRX4892147,0.028233605300000002
SRX4892148,0.1355013336
SRX4892149,0.0249875612
SRX4892150,0.2484427365
SRX4892151,0.3076286674
SRX4892152,0.361298746
SRX4892153,0.42951849610000004
SRX4892154,0.0089859157
SRX4892155,-0.048138271100000005
SRX4892156,0.1416790248
SRX4892157,0.2228933478
SRX4892158,0.4662049694
SRX4892159,0.3464303039
SRX4892160,-0.053053079700000005
SRX4892161,-0.059703903700000005
SRX7620814,0.357836509
SRX7620815,0.5474240246000001
SRX7620816,0.5466474375
SRX7620817,1.9393267451
SRX7620818,2.0418172197
SRX7620819,1.9978281171
SRX7620856,0.236312018
SRX7620857,-0.0071207137000000005
SRX7620858,0.8882588342000001
SRX7620859,-0.0042949434
SRX7620860,0.1355083142
SRX7620861,-0.0246388105
SRX7620862,-1.0584529544
SRX7620863,0.5373911349
SRX7620864,-0.3124048125
SRX7620865,0.45904057600000003
SRX7620866,-0.0810502042
SRX7620867,0.2093512808
SRX2161502,0.1025258736
SRX2161503,-0.1593898121
SRX2161504,0.0568639385
SRX2161505,-0.4184503579
SRX2161506,-0.37368452160000004
SRX2161507,-0.2848508082
SRX2161508,-0.2309584952
SRX2161509,-0.6377475741
SRX2161510,-0.1025550415
SRX2161511,-0.7335352776
SRX2161512,-0.7800025154
SRX2161513,-0.613438842
SRX2161514,1.1070086898
SRX2161515,1.2389645484
SRX2161516,1.3915060909
SRX2161517,0.9060754492
SRX2161518,0.7029382918
SRX2161519,0.8072119007
SRX2161520,1.0031351543
SRX2161521,0.9261858708
SRX2161522,1.1541790854
SRX2161523,0.8635127187
SRX2161524,0.6608566770000001
SRX2161525,0.6958308297
