,parC
Cr_1,0.005763928016880486
Cr_2,0.011154069680225255
Cr_3,0.022559864287770477
Cr_4,0.016261040322546032
Cr_5,0.008061019553009889
Cr_6,0.006589213051984478
Fe_1,-0.011878068620108718
Fe_2,-0.008109731408096718
Fe_3,0.003389897247348296
Fe_4,0.0119649806678121
Fe_5,0.020550544804031203
Fe_6,0.02523438542637638
Cd_1,-0.0020504376052876668
Cd_2,-0.005270669487529585
Cd_3,-0.004640553816475854
Cd_4,-0.0005887598943492762
Cd_5,-0.005590604690744694
Cd_6,-0.003239516371987193
Zn_1,-0.04011746133743982
Zn_2,-0.05329196621564977
Zn_3,-0.05816053805775748
Zn_4,-0.05018288215524441
Zn_5,-0.04298926569972437
Zn_6,0.004927020650637865
Cu_1,0.002448472606233081
Cu_2,0.005006707884428184
Cu_3,0.007912998663659809
Cu_4,0.012536306668944477
Cu_5,0.015088567090271654
Cu_6,0.01862104036468839
Pb_1,0.00882069400193037
Pb_2,0.022426479862121467
Pb_3,0.03663675281168313
Pb_4,0.04694498497068333
Pb_5,0.061938229805316936
Pb_6,0.07672514438332327
