,sbmC
Cr_1,0.007601593254755876
Cr_2,0.01702692718126586
Cr_3,0.02090830778185092
Cr_4,0.04151958417920811
Cr_5,0.05248178924161866
Cr_6,0.06544511495663814
Fe_1,-0.12041970140954494
Fe_2,-0.09995689933390103
Fe_3,-0.17859961405388847
Fe_4,-0.23386346182062226
Fe_5,-0.2625429266576176
Fe_6,-0.2882037458820103
Cd_1,-0.002288378050967319
Cd_2,0.00045779587783669444
Cd_3,0.011017156830183821
Cd_4,0.01900807855290263
Cd_5,0.01787130909136405
Cd_6,0.02009500169539784
Zn_1,-0.0072464663759352265
Zn_2,-0.004898264576576098
Zn_3,-0.011035935085213106
Zn_4,-0.017003656901859784
Zn_5,-0.016509528923265487
Zn_6,-0.013216971043161331
Cu_1,0.0028418990697375076
Cu_2,0.011310427981186016
Cu_3,0.018068107612575844
Cu_4,0.013612736131955908
Cu_5,0.015166085540970852
Cu_6,0.027326963327227043
Pb_1,0.00038652850990479034
Pb_2,-0.0022871049818744345
Pb_3,-0.0009719840372611252
Pb_4,-0.005158402844956909
Pb_5,-0.01358468502352195
Pb_6,-0.010174305359857186
