,slyD
Cr_1,-0.0016799245687472188
Cr_2,-0.001947437446827295
Cr_3,-0.002139196420841604
Cr_4,-0.003072882511400143
Cr_5,-0.002334517153301266
Cr_6,-0.001845338241016647
Fe_1,-0.015003270561026185
Fe_2,-0.02527823038314413
Fe_3,-0.03543087563183035
Fe_4,-0.041100540615772695
Fe_5,-0.042689558483763636
Fe_6,-0.04829272895793102
Cd_1,-0.0012424008899045765
Cd_2,-0.0015138303280552569
Cd_3,-0.0015756393830693035
Cd_4,-0.0009063261689875359
Cd_5,-0.0034470868987228325
Cd_6,-0.0007178115416928648
Zn_1,-0.0011019960947890872
Zn_2,0.0012201437069925063
Zn_3,0.006985262864909813
Zn_4,0.015926319854378982
Zn_5,0.025575763706249827
Zn_6,0.032613701489649684
Cu_1,0.0026358033127751963
Cu_2,0.009393841872845652
Cu_3,0.012387318475304129
Cu_4,0.018143516526280837
Cu_5,0.02177205331493048
Cu_6,0.027752482526327383
Pb_1,0.006168108411482065
Pb_2,0.017886562431547334
Pb_3,0.01471923711939683
Pb_4,0.020197548316152256
Pb_5,0.023283060105615
Pb_6,0.02805058929011786
