,rrnD
Cr_1,0.003184874401513553
Cr_2,0.0039005920832971275
Cr_3,0.005704945686621176
Cr_4,0.009806225489706902
Cr_5,0.015262192943979324
Cr_6,0.022803065044288324
Fe_1,0.001191748152246155
Fe_2,0.00866233068237395
Fe_3,0.009927166086401993
Fe_4,0.005568322747280666
Fe_5,0.00717789037223135
Fe_6,0.01307290024112032
Cd_1,0.0007986352738556872
Cd_2,-0.0006699928755256035
Cd_3,-0.0013159657665936925
Cd_4,-8.782134198496621e-05
Cd_5,-0.0008175629369329411
Cd_6,0.0011902089943862974
Zn_1,-0.025625321477644764
Zn_2,-0.04921153366063157
Zn_3,-0.06908731394145841
Zn_4,-0.0935597650891492
Zn_5,-0.1158905900451446
Zn_6,-0.13835789657188208
Cu_1,0.0030849655413841444
Cu_2,0.006362370029345653
Cu_3,0.011142008677686608
Cu_4,0.01267677906721485
Cu_5,0.01473798498459961
Cu_6,0.017780559406567545
Pb_1,0.0054781951418461155
Pb_2,0.0007681391897466714
Pb_3,-0.008008306037133619
Pb_4,-0.01456950286680499
Pb_5,-0.014430242911963626
Pb_6,-0.0163717099999674
