,nrfE
Cr_1,-0.007530017150502956
Cr_2,-0.031906710085184614
Cr_3,-0.013114955234491113
Cr_4,-0.013448250676864313
Cr_5,-0.02362702674295212
Cr_6,-0.027045027505148974
Fe_1,-0.025379351396275642
Fe_2,-0.06865368072904086
Fe_3,-0.09811130680210016
Fe_4,-0.12666916039915807
Fe_5,-0.1414416162402614
Fe_6,-0.1564515331479274
Cd_1,0.002278974575213675
Cd_2,0.002229969845490477
Cd_3,0.0014481929987981547
Cd_4,0.007104519221892167
Cd_5,0.003321430611926285
Cd_6,0.007132209226985879
Zn_1,0.2372706340672485
Zn_2,4.346007891493623
Zn_3,4.562291453049069
Zn_4,4.1040603113103415
Zn_5,3.659724530062285
Zn_6,3.4228389676659443
Cu_1,0.005084883116494765
Cu_2,0.008297204041670541
Cu_3,0.022152414146803502
Cu_4,0.0263620364089988
Cu_5,0.03648463487222385
Cu_6,0.032160585358520996
Pb_1,0.0016063625386980895
Pb_2,0.013022450792052302
Pb_3,0.01813733065316834
Pb_4,0.0161558400319014
Pb_5,0.018249853052279774
Pb_6,0.023418956786380882
