,ybhJ
Cr_1,-0.003349055665809769
Cr_2,0.0005417830678172006
Cr_3,0.013719295610216255
Cr_4,0.023842109180605968
Cr_5,0.025043459541687612
Cr_6,0.022424821648441003
Fe_1,-0.03621321768154522
Fe_2,-0.09213672913541132
Fe_3,-0.11314651302564953
Fe_4,-0.12084119651031773
Fe_5,-0.0982925585972122
Fe_6,-0.10064505437477007
Cd_1,-0.00035774116278253644
Cd_2,0.00365537970583864
Cd_3,0.010554191937719544
Cd_4,0.02092323997490823
Cd_5,0.015871360467729283
Cd_6,0.01812888179543994
Zn_1,-0.013317602317356543
Zn_2,-0.04118217064453504
Zn_3,-0.04147700537797031
Zn_4,-0.041554721844994764
Zn_5,-0.035162229518816736
Zn_6,-0.0399572277611485
Cu_1,0.00574495582426749
Cu_2,0.015590764158487896
Cu_3,0.026022487116006424
Cu_4,0.03505133494007003
Cu_5,0.04619013085498557
Cu_6,0.05259849654274484
Pb_1,0.003870476040827429
Pb_2,-0.0008446776131460518
Pb_3,0.012520153224562106
Pb_4,0.016381900520587796
Pb_5,0.025691557114536467
Pb_6,0.03686160964668375
