,-0.19709471552312918,-0.17738524397081626,-0.15767577241850333,-0.1379663008661904,-0.11825682931387749,-0.09854735776156456,-0.07883788620925164,-0.059128414656938716,-0.03941894310462579,-0.01970947155231287,5.551115123125783e-17,0.01970947155231298,0.0394189431046259,0.059128414656938855,0.07883788620925175,0.09854735776156465,0.1182568293138776,0.13796630086619055,0.15767577241850345,0.17738524397081634
thresh,-0.10840209353772104,0.10840209353772104,1,,,,,,,,,,,,,,,,,
unreg,1,1,0,1,3,3,4,4,44,657,2432,665,51,13,2,0,2,2,1,0
unreg_genes,['STM2904'],['STM2905'],[],['STM2920'],['mutS' 'sicP' 'pphB'],[],[],[],[],[],[],[],[],[],[],[],['STM2870' 'prgH'],['prgK' 'prgJ'],['prgI'],[]
