,manX
Cr_1,-0.005118664804779225
Cr_2,-0.008708677539021359
Cr_3,-0.009803364570170413
Cr_4,-0.011062583517301884
Cr_5,-0.01290934305681827
Cr_6,-0.016785999934610378
Fe_1,0.02584238660041752
Fe_2,0.0417263362069876
Fe_3,0.07203533806672913
Fe_4,0.0955171535023386
Fe_5,0.10587995361718253
Fe_6,0.12274214852306226
Cd_1,-0.010027659967799769
Cd_2,-0.019600821548777198
Cd_3,-0.027689287948876026
Cd_4,-0.032638577726300085
Cd_5,-0.038156827973954234
Cd_6,-0.03414092702114039
Zn_1,0.010201814906890509
Zn_2,0.0318474822373864
Zn_3,0.04785032139810082
Zn_4,0.0688575443906165
Zn_5,0.08675461996288543
Zn_6,0.09526713406079107
Cu_1,-0.0038887108748127132
Cu_2,0.0040522315995040635
Cu_3,0.013835589040046066
Cu_4,0.02340667733482397
Cu_5,0.03493135072069123
Cu_6,0.04386485281905863
Pb_1,0.005304727722111465
Pb_2,0.004605640252269347
Pb_3,0.00322347961334235
Pb_4,-0.004575273648873239
Pb_5,-0.01224852495662229
Pb_6,-0.025760376391449062
