,dapA
Cr_1,0.0015369853463746447
Cr_2,0.00445386338545245
Cr_3,0.009216705821106121
Cr_4,0.013578348104431877
Cr_5,0.017246188997117582
Cr_6,0.020263379720924183
Fe_1,-0.00549062383797631
Fe_2,-0.009700943309086543
Fe_3,-0.007687946588280294
Fe_4,-0.004830388892568205
Fe_5,-0.0006188483181216979
Fe_6,0.010224680648733546
Cd_1,-0.0009324154878717703
Cd_2,-0.0004968850797381367
Cd_3,0.0012505215463279812
Cd_4,0.00401629734844265
Cd_5,0.0037605160128387884
Cd_6,0.008379726648093753
Zn_1,-0.007297948746269634
Zn_2,-0.004454973409509707
Zn_3,0.001309911002118021
Zn_4,0.013055675004059668
Zn_5,0.030570767555710174
Zn_6,0.05315548526215743
Cu_1,0.00597328018522946
Cu_2,0.009874584245915157
Cu_3,0.024570589456134943
Cu_4,0.04856424847060454
Cu_5,0.06135679329710871
Cu_6,0.07765422718676386
Pb_1,0.0005654782776819388
Pb_2,0.00813503526565637
Pb_3,0.011934359120521208
Pb_4,0.015832038005271037
Pb_5,0.02102681230341777
Pb_6,0.02699293665999208
