,yhbW
Cr_1,0.0011416083484548096
Cr_2,0.011067609317872056
Cr_3,0.030774842921051957
Cr_4,0.05262714538717645
Cr_5,0.07842339064599567
Cr_6,0.10011581413386234
Fe_1,-0.0027088812624768577
Fe_2,-0.016795469853608958
Fe_3,-0.03471941949475101
Fe_4,-0.05019636796863187
Fe_5,-0.06338060902590491
Fe_6,-0.07269256368838664
Cd_1,-0.00024459563223987646
Cd_2,-0.0014252252400068766
Cd_3,-0.006944197708389775
Cd_4,-0.014666185395177113
Cd_5,-0.0247992743898776
Cd_6,-0.02720482233285132
Zn_1,-0.0072038824789221485
Zn_2,-0.013757646335021507
Zn_3,-0.014624741549662475
Zn_4,-0.012357756386109291
Zn_5,-0.005663860468041805
Zn_6,-1.8911811651660364e-05
Cu_1,0.0027253551895621013
Cu_2,0.008280318832802027
Cu_3,0.015185703248629688
Cu_4,0.02423504021670774
Cu_5,0.03462838506765021
Cu_6,0.04882465151556934
Pb_1,0.005731094123209535
Pb_2,0.013380160925116192
Pb_3,0.017755368919757486
Pb_4,0.020840661583121686
Pb_5,0.02500996244757585
Pb_6,0.030968568865445443
