,tig
Cr_1,0.005315697165796035
Cr_2,0.008461532925425556
Cr_3,0.011507155545232094
Cr_4,0.008779922953463958
Cr_5,0.010045163180751744
Cr_6,0.006130283545086301
Fe_1,-0.008582182589998422
Fe_2,-0.006423058005162167
Fe_3,0.005810360338384574
Fe_4,0.017778607028754098
Fe_5,0.023292521076114764
Fe_6,0.03491812090049646
Cd_1,0.0023769205701974897
Cd_2,0.007902225113323322
Cd_3,0.012972331245148684
Cd_4,0.013531176221002124
Cd_5,0.009321810764279743
Cd_6,0.0139713883332578
Zn_1,0.004426370627994751
Zn_2,0.025476849576026882
Zn_3,0.07334637434864437
Zn_4,0.11966694932927165
Zn_5,0.17448853668998202
Zn_6,0.21131296797173765
Cu_1,-0.0007805571403293469
Cu_2,0.0029116474511515157
Cu_3,0.005049499629919952
Cu_4,0.002151412367409099
Cu_5,0.008619379764035652
Cu_6,0.017051507303568823
Pb_1,0.0050677198790909294
Pb_2,0.012603114612172651
Pb_3,0.021104512287592483
Pb_4,0.03948899504756191
Pb_5,0.059166856097556
Pb_6,0.07226710928928745
