,USA300HOU_RS01120
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,7.6510123124
USA300_LAC_U01-Set001_CAMHB_Control_1,7.7281918943
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,7.4583097325
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,7.2785119797
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,7.2434673945
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,7.8270182194
USA300_LAC_U01-Set001_CAMHB_Control_2,7.8406605224
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,7.3677358058
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,7.2750467108
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,7.203888476
USA300_TCH1516_U01-Set000_CAMHB_Control_1,8.4511233267
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,8.1680838559
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,7.7492015298
USA300_LAC_U01-Set001_R10LB_PreCulture_1,5.1005333038
USA300_LAC_U01-Set001_R10LB_PreCulture_2,5.3282600137
USA300_LAC_U01-Set001_R10LB_Control_1,5.18946153
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,5.1816758487
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,5.5096948495
USA300_LAC_U01-Set001_R10LB_Control_2,5.2828562762
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,5.3824606079
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,5.2265783826
USA300_TCH1516_U01-Set000_R10LB_Control_1,4.6638491359
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,4.7618791906
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,4.8620781297
USA300_TCH1516_U01-Set000_R10LB_Control_2,5.0872343223
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,4.1677655214
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,4.7042910216
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,7.1845584488
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,7.3396721397
USA300_TCH1516_U01-Set000_CAMHB_Control_2,8.3580288744
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,8.2583274443
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,7.86365306
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,8.284327405199999
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,8.1695230387
USA300_LAC_U01-Set004_CAMHB_Control_1,7.5672315352
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,8.074649395
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,7.7566935772
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,5.5841038474
USA300_LAC_U01-Set004_CAMHB_Control_2,7.7026355168
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,7.8156241785
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,7.7878710102
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,5.8877412907
USA300_LAC_U01-Set004_R10LB_Control_1,5.2116581137
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_1,5.4716832048
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_1,5.2495105556
USA300_LAC_U01-Set004_R10LB_Control_2,5.019053475
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_2,5.4159902731
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_2,5.424542301
USA300_TCH1516_U01-Set003_CAMHB_Control_2,8.2040062861
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_2,8.0918720685
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_2,8.5263640666
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_2,9.5470973848
USA300_TCH1516_U01-Set003_CAMHB_Control_3,8.1802809546
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_3,8.1469757638
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_3,8.7888941614
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_3,9.5592083213
USA300_LAC_ICA-Set001_R10LB_Control_1,4.3379257379
USA300_LAC_ICA-Set001_R10LB_Control_2,4.6955395171
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_1,4.5067168258
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_2,4.4067397478
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_1,5.3398904772
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_2,5.0459892571
USA300_LAC_ICA-Set001_R10LB_5.5pH_1,4.7082648486
USA300_LAC_ICA-Set001_R10LB_5.5pH_2,5.0194372794
USA300_TCH1516_BK-Set001_THB_Control_1,6.1711244895
USA300_TCH1516_BK-Set001_THB_Control_2,5.5006249068
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_1,5.3863892439
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_2,5.2709426066
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_1,5.5329338885
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_2,5.4741382399
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_1,6.1801881293
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_2,5.5546806693
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_1,8.3690402644
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_2,8.3015602403
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_1,5.5593806504
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_2,5.4830810408
USA300_LAC_ICA-Set002_CAMHB_Control_1,7.9311636573
USA300_LAC_ICA-Set002_CAMHB_Control_2,8.1745866284
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_1,5.6747226585
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_2,5.5525751232000005
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_1,5.2542504814
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_2,5.2894206334
USA300_SNFM1_ICA-Set002_CAMHB_Control_1,7.4243394275
USA300_SNFM1_ICA-Set002_CAMHB_Control_2,7.8484985627
USA300_SNFM1_ICA-Set002_R10LB_Control_1,5.3240869465
USA300_SNFM1_ICA-Set002_R10LB_Control_2,5.2604276299
USA300_SNFR19_ICA-Set002_CAMHB_Control_1,7.351342798
USA300_SNFR19_ICA-Set002_CAMHB_Control_2,7.2283253437
USA300_SNFR19_ICA-Set002_R10LB_Control_1,5.3315790637
USA300_SNFR19_ICA-Set002_R10LB_Control_2,5.06900794
USA300_TCH1516_ICA-Set002_CAMHB_Control_1,8.0351843225
USA300_TCH1516_ICA-Set002_CAMHB_Control_2,8.1399483477
USA300_TCH1516_ICA-Set002_R10LB_Control_1,4.8740947595
USA300_TCH1516_ICA-Set002_R10LB_Control_2,4.9214530523
