,dcp
Cr_1,-0.0019609478746591075
Cr_2,-0.002880679641929412
Cr_3,0.002932742843213974
Cr_4,0.010228908928494396
Cr_5,0.014409626530959068
Cr_6,0.012522261663462013
Fe_1,-0.014103418522033229
Fe_2,-0.03332915426841206
Fe_3,-0.0484136511987459
Fe_4,-0.06503581932332382
Fe_5,-0.0853427914021223
Fe_6,-0.10253424796480576
Cd_1,-0.0020815879784162016
Cd_2,-0.005323057823325086
Cd_3,-0.004755788647352106
Cd_4,-0.003484574551132577
Cd_5,-0.010268759007161506
Cd_6,-0.011739870680504982
Zn_1,-0.009018880924390552
Zn_2,-0.010522771342957671
Zn_3,-0.012980359774708022
Zn_4,0.0009931237367906095
Zn_5,0.023100952747081897
Zn_6,0.025344008462536937
Cu_1,0.008343580893207364
Cu_2,0.014146013297679515
Cu_3,0.01986552500454832
Cu_4,0.02691059751404341
Cu_5,0.032271777236955575
Cu_6,0.036017854421898685
Pb_1,0.0026831931880314194
Pb_2,0.011162760842525056
Pb_3,0.017587437329873477
Pb_4,0.020797626424554638
Pb_5,0.023299512377692164
Pb_6,0.03366605691275632
