sample,BSU35530
LBexp_1,13.6553
LBexp_2,13.7954
LBexp_3,13.4824
LBtran_1,13.0502
LBtran_2,13.1159
LBtran_3,12.6767
LBstat_1,13.0591
LBstat_2,12.8563
LBstat_3,12.1844
LBGexp_1,13.7187
LBGexp_2,13.3128
LBGexp_3,13.437
LBGtran_2,12.2637
LBGtran_3,12.9104
LBGstat_1,13.2557
LBGstat_2,12.7953
LBGstat_3,12.4267
S0_1,13.0381
S0_2,12.9464
S0_3,12.6148
S1_1,13.5749
S1_2,13.4582
S1_3,13.517
S2_1,13.0328
S2_2,12.7914
S2_3,12.264
S3_1,12.9961
S3_2,12.851
S4_1,12.3697
S4_2,12.0738
S4_3,11.5915
S5_1,12.4146
S5_2,12.4749
S5_3,12.6185
S6_1,11.8997
S6_2,10.7418
S6_3,10.8402
S6/t_1,11.9464
S6/t_2,10.5478
S6_4,11.1374
S6_5,11.9116
S6_6,11.8186
S7_4,12.1822
S7_5,12.2303
S7_6,12.1888
S8_4,11.7023
S8_5,12.0897
G135_1,13.6886
G135_3,12.1673
G150_1,13.1834
G150_2,13.7313
G150_3,13.0619
G180_1,13.4002
G180_2,13.8793
G180_3,12.8836
C30_1,12.572
C30_2,12.800999999999998
C90_1,13.3405
C90_2,13.3964
BI_1,13.9116
BI_2,13.9546
BC_2,14.1567
BC/t_1,13.6413
BC/t_2,13.9161
BC_1,13.630999999999998
Sw_1,14.0779
Sw_2,14.3332
BT_1,11.4006
BT_2,11.0297
B36_1,12.502
B36_2,12.2606
B60_1,13.2813
B60_2,13.4557
M9exp_1,13.2592
M9exp_2,12.8587
M9exp_3,12.7403
M9tran_1,12.7499
M9tran_2,12.5602
M9tran_3,13.071
M9stat_1,11.2646
M9stat_2,11.4289
M9stat_3,11.1904
M+G_1,12.5148
M+G_2,13.1344
M+G_3,13.2187
Glu_1,13.4839
Glu_2,13.4798
Glu_3,13.4441
Fru_1,13.5132
Fru_2,13.7211
Fru_3,13.1077
Mal_1,12.42
Mal_2,12.6284
Mal_3,13.0626
G+S_2,12.9197
G+S_3,12.9322
Pyr_1,12.5888
Pyr_2,13.1283
Pyr_3,12.6779
Gly_1,11.6052
Gly_2,12.5385
Gly_3,11.2102
Glucon_1,12.4208
Glucon_2,12.9797
Glucon_3,11.9608
aero_1,13.9436
aero_2,12.6586
aero_3,13.7542
nit_1,13.5973
nit_2,13.7738
nit_3,13.5716
ferm_1,13.5116
ferm_2,13.2623
ferm_3,13.9367
T-5.40H_1,13.8648
T-4.40H_1,13.8216
T-3.40H_1,13.554
T-2.40H_1,13.1818
T-1.40H_1,13.2988
T-1.10H_1,13.4637
T-0.40H_1,13.6777
T0.0H_1,13.4222
T0.30H_1,13.1622
T1.0H_1,12.59
T1.30H_1,12.4006
T2.0H_1,12.198
T2.30H_1,12.8902
T3.0H_1,12.7091
T3.30H_1,12.9154
T4.0H_1,12.8482
T5.0H_1,11.9096
HPh_1,13.4052
HPh_2,13.0997
HPh_3,13.4088
LPh_1,13.1684
LPh_2,14.0071
LPh_3,13.5758
LPhT_1,14.2445
LPhT_2,14.3377
LPhT_3,14.8644
SMMPr_1,12.9238
SMMPr_2,12.6288
SMMPr_3,12.9897
HiTm_1,11.4161
HiTm_2,12.5515
HiTm_3,12.8125
LoTm_1,14.2043
LoTm_2,13.7504
LoTm_3,13.8696
HiOs_1,13.1818
HiOs_2,13.0279
HiOs_3,12.9883
BMM_1,13.3372
BMM_2,13.1929
BMM_3,13.1292
Heat_1,13.5214
Heat_2,13.015
Heat_3,13.0129
