,argI
Cr_1,0.001007651628630075
Cr_2,0.005596694533643035
Cr_3,0.009766080035025802
Cr_4,0.010806226126176476
Cr_5,0.010725978325471322
Cr_6,0.0080012883335012
Fe_1,0.007549401349851488
Fe_2,0.03509232830846493
Fe_3,0.07363548762391561
Fe_4,0.12107117938310358
Fe_5,0.17454938758607788
Fe_6,0.224589536033597
Cd_1,-0.0006041449248404173
Cd_2,0.002644767423693794
Cd_3,0.0015531509642728572
Cd_4,0.0015308767939630715
Cd_5,-0.00023942129275394839
Cd_6,0.003747786410876569
Zn_1,-0.0027215588182540602
Zn_2,0.0065874912601217965
Zn_3,0.014829368023505197
Zn_4,0.011238071765118077
Zn_5,0.001785440760967114
Zn_6,-0.009225194706279076
Cu_1,0.0010392469366309661
Cu_2,0.005810892924834362
Cu_3,0.01117855787003739
Cu_4,0.013134358320482736
Cu_5,0.013832887725371069
Cu_6,0.014589699228387388
Pb_1,0.0036786123010374453
Pb_2,0.003121166319375909
Pb_3,0.0006653951033235456
Pb_4,-0.0005190060026087333
Pb_5,0.0021961880821803345
Pb_6,-0.00169158185716535
