locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
new_2415356_2415414_c,0.24616577899999997,S878,3'UTR of resE,No COG category,,"ResD,SigA,PhoP,CcpA",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2415356_2415414_c
new_649828_649902,0.18594546,S208,5'UTR of groES,No COG category,,"HrcA,SigA",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_649828_649902
new_2208781_2208854_c,0.185552513,S786,3'UTR of yopL,No COG category,,CcpA,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2208781_2208854_c
new_352793_352857,0.172378132,S119,5'UTR of ycgT,No COG category,,Fur,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_352793_352857
new_3649731_3649813_c,0.144981169,S1360,5'UTR of tagO,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3649731_3649813_c
new_3464210_3464288,0.135113675,S1293,5'UTR of sdpA,No COG category,,"Rok,Spo0A,AbrB",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3464210_3464288
new_1097850_1097950_c,0.134604236,S361,5'UTR of gltT,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1097850_1097950_c
new_2589046_2589122,0.124316113,S940,5'UTR of ispG,No COG category,,"SigE,SpoIIID",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2589046_2589122
new_1132073_1132144_c,0.11280799400000001,S377,5'UTR of yhjN,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1132073_1132144_c
new_3293360_3293440_c,0.10080861,S1230,5'UTR of besA,No COG category,,"AbrB,Fur",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3293360_3293440_c
new_1398413_1398495,0.09622361,S476,5'UTR of ykoM,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1398413_1398495
new_3681277_3681369,0.096108926,S1375,5'UTR of tagA,No COG category,,"SigA,PhoP,WalR",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3681277_3681369
new_1264932_1265017_c,0.095107165,S432,5'UTR of yjcM,No COG category,,"SigD,AbrB",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1264932_1265017_c
new_101212_101289,0.09171780199999999,S44,intergenic region,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_101212_101289
new_2778420_2778505_c,0.087335732,S1023,5'UTR of yrhH,No COG category,,"SigM,SigW,SigX",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2778420_2778505_c
new_2736537_2736639_c,0.08640844199999999,S1005,5'UTR of aadK,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2736537_2736639_c
new_1105569_1105635_c,0.081563735,S363,5'UTR of aprE,No COG category,,"SigA,SinR,CodY,DegU,AbrB,ScoC",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1105569_1105635_c
new_3918262_3918330_c,0.080256287,S1471,5'UTR of qoxA,No COG category,,"CitB,stringent response",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3918262_3918330_c
new_1430625_1430683,0.077678188,S490,5'UTR of spo0E,No COG category,,"Rok,SigA,SigB,AbrB",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1430625_1430683
new_3301384_3301448_c,0.076122857,S1239,5'UTR of yumB,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3301384_3301448_c
new_4007659_4007722_c,0.074588915,S1504,5'UTR of yxiT/2,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_4007659_4007722_c
new_3991968_3992056_c,-0.090893435,S1494,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3991968_3992056_c
