,yedX
Cr_1,0.0016048657323638517
Cr_2,0.006942668635674824
Cr_3,0.012260514397256679
Cr_4,0.015851242958822526
Cr_5,0.01853780592664962
Cr_6,0.01794945921092126
Fe_1,-0.00726054776462095
Fe_2,-0.02567798326478884
Fe_3,-0.05421341310659872
Fe_4,-0.08452741134745145
Fe_5,-0.10293444199626836
Fe_6,-0.11685492652334853
Cd_1,0.004615073993842456
Cd_2,0.00959327587133987
Cd_3,0.012908382057234288
Cd_4,0.0178140535646892
Cd_5,0.018752101194702542
Cd_6,0.026076710878573998
Zn_1,-0.0030298748855827127
Zn_2,-0.017591583182691096
Zn_3,-0.028711707842356764
Zn_4,-0.03227902282233059
Zn_5,-0.03766547714536795
Zn_6,-0.043315363828647466
Cu_1,0.00445208735657361
Cu_2,0.008656853285156392
Cu_3,0.008345334521342384
Cu_4,0.007627491982740247
Cu_5,0.009125584277502671
Cu_6,0.014804878672103032
Pb_1,0.017171779572892527
Pb_2,0.016798575070797205
Pb_3,0.012204486848966056
Pb_4,0.01368735754191829
Pb_5,0.026431763100657615
Pb_6,0.04211250518383896
