,ribE
Cr_1,0.005622795318766734
Cr_2,0.003263072120246855
Cr_3,-0.011483404520132287
Cr_4,-0.014699434641967903
Cr_5,-0.017620521496632797
Cr_6,-0.019614972971585685
Fe_1,-0.04547922430896032
Fe_2,-0.08257685263977263
Fe_3,-0.1188925474643906
Fe_4,-0.14895732014795535
Fe_5,-0.17261058325978598
Fe_6,-0.17943901135133294
Cd_1,0.004258919533298124
Cd_2,0.0062424742012282455
Cd_3,0.009640206006791493
Cd_4,0.008738424554213574
Cd_5,0.009482650217601002
Cd_6,0.011846811460255192
Zn_1,0.26808236653855905
Zn_2,2.2191309224490503
Zn_3,2.5904527731325886
Zn_4,2.1238678914873512
Zn_5,1.7019389298616527
Zn_6,1.3617079311633997
Cu_1,-0.0002069987645951538
Cu_2,-0.002934661496962113
Cu_3,-0.003330243702633048
Cu_4,0.000994070213636207
Cu_5,0.004535535401092935
Cu_6,0.007265066912909097
Pb_1,0.00946047287734151
Pb_2,0.018610677549223763
Pb_3,0.02095090028010469
Pb_4,0.02387376034661285
Pb_5,0.029288548918505
Pb_6,0.0376266065779104
