,yqgA
Cr_1,0.0018091070110105194
Cr_2,0.000960887280675499
Cr_3,0.005135101341367772
Cr_4,0.013111432627215137
Cr_5,0.017258079101632684
Cr_6,0.017112940769305182
Fe_1,-0.005682741155542962
Fe_2,-0.02393177093170305
Fe_3,-0.048975599027902515
Fe_4,-0.07039591995524005
Fe_5,-0.08516006724926753
Fe_6,-0.09396122472660466
Cd_1,-0.0009172836756584231
Cd_2,0.0018235072104239392
Cd_3,0.006602034627124389
Cd_4,0.00766409251398938
Cd_5,0.003968614187461893
Cd_6,0.00891219608113485
Zn_1,-0.004284813940721525
Zn_2,-0.011675149766885492
Zn_3,-0.011633068354768992
Zn_4,-0.006831791090530284
Zn_5,-0.0024999578710098594
Zn_6,0.0011705169764734806
Cu_1,0.0048304750525110214
Cu_2,0.004790628691866935
Cu_3,0.006007931245856089
Cu_4,0.008294401667386554
Cu_5,0.014276281859625787
Cu_6,0.021699077628730645
Pb_1,0.0017505818349515545
Pb_2,0.008174462466136852
Pb_3,0.014695574236800818
Pb_4,0.0217032267948107
Pb_5,0.031307780879168426
Pb_6,0.04199170353116192
