,agn43
Cr_1,0.002516522483120105
Cr_2,0.005309453159264161
Cr_3,0.009704726017978432
Cr_4,0.006038977062935035
Cr_5,0.010931711235939195
Cr_6,0.008852973240662237
Fe_1,-0.015127275683137754
Fe_2,-0.02883657533805565
Fe_3,-0.03778130440811352
Fe_4,-0.046054791336424435
Fe_5,-0.04592895838534747
Fe_6,-0.047652485285255855
Cd_1,0.0006538117443822119
Cd_2,0.0046718089034304714
Cd_3,0.009457125446075479
Cd_4,0.015106601313368285
Cd_5,0.012829887418068715
Cd_6,0.019106878440749785
Zn_1,-0.007365699733599573
Zn_2,-0.010427170841221193
Zn_3,0.002690677798061587
Zn_4,0.01968374994708572
Zn_5,0.037258731966732656
Zn_6,0.04851139238915853
Cu_1,0.0010914642852051482
Cu_2,0.008346605124040297
Cu_3,0.010933212502332958
Cu_4,0.012395647410983236
Cu_5,0.016559789348246787
Cu_6,0.023191252408799927
Pb_1,0.004733009015692279
Pb_2,0.015378683177721245
Pb_3,0.02680821386041664
Pb_4,0.03947440226593689
Pb_5,0.05516773750079037
Pb_6,0.06685714483488901
