,A,Mga
R2,,0.5113241608813557
xmin,,-2.4898474597
xmid,,
xmax,,0.7901565655
ystart,,22.79338632355956
yend,,-4.657251416215519
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:1.0,-0.42983906580000003,-0.0803012369
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:2.0,-0.6735244032000001,-0.3890050077
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:3.0,1.103363469,0.46930624460000003
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:1.0,22.398100759,-1.8791479475
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:2.0,22.0711471014,-1.9458047294
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:3.0,11.4214597646,-1.3812174074999999
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:1.0,15.6729258699,-2.0089506737
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:2.0,15.221701511,-1.9913525411
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:3.0,20.2394903968,-1.6462177567
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:1.0,-0.24233254680000002,0.050506446
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:2.0,-0.0889203346,-0.0962289672
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:3.0,-0.6961422225,-0.017181438900000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:4.0,0.08442116370000001,-0.34679510610000003
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:5.0,-0.6595796709,0.06224475300000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:6.0,-2.1019172618,-0.0969390745
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:7.0,-0.4227532792,0.0576452407
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:8.0,-0.8643655794,-0.1607788168
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:9.0,0.23543257150000002,-0.1100236613
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:10.0,4.0302810127,0.0566953336
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:11.0,1.1911564409,-0.39391825150000004
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:12.0,-0.9496866502,0.0185127921
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:13.0,-0.8659230048000001,0.1186977417
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:14.0,-2.2627366965,-0.055380561200000004
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:15.0,-2.434740543,0.0339552345
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:16.0,0.4173458036,0.18425929630000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:17.0,0.46194573390000004,-0.0473619442
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:18.0,0.1406952465,-0.0020867224
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:19.0,2.1407776737,0.23270728540000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:20.0,1.7116535238,0.27421238740000003
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:21.0,1.1753886194,0.2372580334
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:1.0,15.0576764909,-0.0761179934
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:2.0,15.7119767407,-1.0897379207
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:3.0,15.8715667407,-0.8004700702
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:4.0,14.929868829,-0.9617616574000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:5.0,20.7129180213,-0.7664065840000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:6.0,13.6461740147,-0.5100316904000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:7.0,14.6536454024,-0.41127467300000004
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:8.0,15.7779816072,-0.5248894775
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:9.0,16.2584208424,-0.2708025415
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:10.0,15.4449451303,-1.268483226
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:11.0,14.9537809799,-1.5390661145
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:12.0,14.1848553443,-1.1991176341
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:13.0,14.2627993519,-0.4395413124
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:14.0,14.3876146602,-0.7889869778
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:15.0,14.0408537351,-1.0407051083
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:16.0,14.4519577541,-0.4041670788
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:17.0,18.592835633299998,-1.3567665788
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:18.0,14.7687968941,-0.4627400586
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:19.0,16.8536906503,-0.23458234320000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:20.0,17.6055414894,0.0127070779
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:21.0,16.2027731985,-0.2004960237
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:1.0,0.0631654564,-0.0204470712
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:2.0,-0.16379431560000002,0.055306073600000005
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:3.0,0.1006288592,-0.0348590024
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:1.0,-2.4453865257,0.6005646406
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:2.0,-0.055725063400000004,-0.3358003526
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:3.0,-0.06382734200000001,-0.326942259
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:4.0,-0.8919305582,-0.3558948142
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:1.0,1.4664206233,-0.0645237021
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:2.0,1.054397192,0.0096556857
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:3.0,-0.1141704562,0.0034663938
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:4.0,-2.4066473591,0.0514016226
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:1.0,-2.5895887527,-0.0362316501
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:2.0,-0.99269017,-0.0053232481000000005
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:3.0,-1.7771121737,-0.0352819138
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:4.0,-1.7944794319000001,0.020546563400000002
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:1.0,-1.0374683293,0.17876238900000002
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:2.0,-1.5578570024,0.0351763352
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:3.0,-1.8276887536,0.0376065492
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:4.0,-1.671384156,-0.005337376400000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:1.0,2.5324988882,-1.3195520099
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:2.0,2.1994428461,-1.4778618535999999
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:3.0,0.37995635790000004,-0.7423220220000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:4.0,0.9491744936000001,-0.6495268161000001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:1.0,3.3672052755,-0.049111128100000005
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:2.0,2.8900628198,-0.12058411200000001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:3.0,3.2347669903,-0.21417955830000002
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:1.0,11.7849565165,-1.12709224
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:2.0,10.6173331035,-1.0430488581
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:3.0,12.3227544531,-0.9532762364
