,yhbX
Cr_1,0.0009404375580478672
Cr_2,0.004795263095875311
Cr_3,0.011040014175159265
Cr_4,0.016424627996148425
Cr_5,0.020129157871885208
Cr_6,0.02381301658169435
Fe_1,-0.004980652287608546
Fe_2,-0.021114930094895863
Fe_3,-0.04646961200441351
Fe_4,-0.07353017677603438
Fe_5,-0.08865900439427322
Fe_6,-0.10271495578557108
Cd_1,-0.010064482533527135
Cd_2,-0.013297024058640054
Cd_3,-0.013171816926406428
Cd_4,-0.012900496231320115
Cd_5,-0.016457394619339143
Cd_6,-0.012689965922323795
Zn_1,0.00232708447630838
Zn_2,0.0040743259038354745
Zn_3,0.014264808454245822
Zn_4,0.026848034796385686
Zn_5,0.03845513068888276
Zn_6,0.045414633206585404
Cu_1,0.003915421952777431
Cu_2,0.005010465351835904
Cu_3,0.009035265032240804
Cu_4,0.00932437694354368
Cu_5,0.011587438964049394
Cu_6,0.01512807707331569
Pb_1,-0.0019848467056951687
Pb_2,-0.003635431981972332
Pb_3,-0.004997453462280607
Pb_4,-0.003741525731903157
Pb_5,-0.0020985032931364164
Pb_6,0.005311259987678414
