,narX
Cr_1,0.001056360631653533
Cr_2,0.0036384806677011022
Cr_3,0.011969215053028491
Cr_4,0.015126141540967737
Cr_5,0.02271552893871607
Cr_6,0.019985920760229262
Fe_1,-0.006595367331175099
Fe_2,-0.023587132988014552
Fe_3,-0.034697824015085185
Fe_4,-0.043119507864535736
Fe_5,-0.043525440368967945
Fe_6,-0.042781178684580916
Cd_1,0.0007349723635963571
Cd_2,0.003084056361006381
Cd_3,0.007551375867375263
Cd_4,0.008278664585606844
Cd_5,0.0069194647882943995
Cd_6,0.008648728234774573
Zn_1,-0.004823478912976147
Zn_2,-0.003984177764450117
Zn_3,0.007420503752619725
Zn_4,0.02249193043587708
Zn_5,0.03380798956965032
Zn_6,0.04094963865946765
Cu_1,0.002343215291875565
Cu_2,0.00021371314361835343
Cu_3,-0.0035315480926862686
Cu_4,0.0018419767210142797
Cu_5,0.005536140421118507
Cu_6,0.014231398822783212
Pb_1,-0.0011475243666773164
Pb_2,-0.0002708525687034262
Pb_3,0.004699632391037572
Pb_4,0.00812088776046965
Pb_5,0.017133978978486487
Pb_6,0.02688212451464956
