,msbB
Cr_1,-0.003713864903817185
Cr_2,-0.0005785760866904704
Cr_3,0.004463998217040821
Cr_4,0.008087042646752557
Cr_5,0.006004556389623979
Cr_6,0.0063843381917536605
Fe_1,-0.0017383722098341461
Fe_2,-0.006752678126899888
Fe_3,-0.010381693856262772
Fe_4,-0.024228625719607683
Fe_5,-0.032944046170970666
Fe_6,-0.047552717815841486
Cd_1,0.002156059601574973
Cd_2,0.004751276982911853
Cd_3,0.0059629913997115295
Cd_4,0.006644232009542569
Cd_5,0.003940132386159806
Cd_6,0.008604772070243308
Zn_1,-0.019639025310332396
Zn_2,-0.031991546250553386
Zn_3,-0.04158458307058451
Zn_4,-0.044135379472554165
Zn_5,-0.04287653921010691
Zn_6,-0.04170303492285043
Cu_1,0.006023724096450615
Cu_2,0.014173402280193613
Cu_3,0.020802349913906587
Cu_4,0.02328287135334853
Cu_5,0.024337131656964276
Cu_6,0.023875321487683697
Pb_1,0.003335002963254224
Pb_2,0.007557231118065667
Pb_3,0.007420168101493122
Pb_4,0.01002730495183444
Pb_5,0.01811757375730466
Pb_6,0.026013790698392682
