,A,GadE,FliZ
R2,,0.47264819831419047,0.030692720465475998
xmin,,-7.303250722,-2.1896761165
xmid,,-0.9760376577723089,1.134134588995418
xmax,,4.247838628,7.1670466815000005
ystart,,-1.5262239535161508,-0.4298119712698354
yend,,5.1865149192885855,-1.8629728151483738
control__wt_glc__1,-0.27920512410000004,0.040858297,-0.1284050565
control__wt_glc__2,0.27920512410000004,-0.040858297,0.1284050565
fur__wt_dpd__1,3.441857829,2.384150661,1.0272767965
fur__wt_dpd__2,3.4031131695,2.313884721,1.0981969385
fur__wt_fe__1,0.6417284404,-0.31164927400000003,-0.2973695505
fur__wt_fe__2,-0.2809434581,-0.410002937,0.1051134615
fur__delfur_dpd__1,5.7785672884,2.671764103,0.5904138855000001
fur__delfur_dpd__2,5.2812496084,2.689400198,0.6879863725
fur__delfur_fe2__1,0.5803004251,-0.16504278800000002,0.6539038715000001
fur__delfur_fe2__2,0.6359854059000001,0.0014550250000000002,0.4289630795
acid__wt_ph5__1,4.0300721205,2.043199042,0.2596557335
acid__wt_ph5__2,3.8966606314,2.145281727,0.6502983585000001
acid__delgadx_ph5__2,1.9251646465,1.429521619,0.6585149755
acid__delgadw_ph5__1,4.1920637239,2.346173817,0.5825865305
acid__delgadw_ph5__2,4.4272374269,2.331624076,0.8773572265
acid__delgade_ph5__1,1.2622220548,-7.066735297,0.3083133565
acid__delgade_ph5__2,1.6792082975,-7.303250722,0.6903257665
oxidative__wt_pq__1,0.8181329875000001,1.432743456,0.6379101805
oxidative__wt_pq__2,0.8210578405000001,1.2542347600000001,0.6319914995
oxidative__deloxyr_pq__1,0.19010528770000001,1.092263134,0.5573718185000001
oxidative__deloxyr_pq__2,-0.0085054338,1.322511217,0.6224436555
oxidative__delsoxr_pq__1,1.5255930046000001,1.9804979980000001,0.7196819015
oxidative__delsoxr_pq__2,1.8300570189,1.751442595,0.1697800475
oxidative__delsoxs_pq__1,0.7392199573,2.242505628,0.6189384355
oxidative__delsoxs_pq__2,0.3260907963,2.250634833,0.8666765095000001
nac_ntrc__wt_csn__1,3.1537536666,2.730842548,0.8967490335
nac_ntrc__wt_csn__2,3.1165207172,2.681721871,0.6943545345000001
nac_ntrc__wt_cytd__1,-1.1531176234,-1.683812888,-0.1759698035
nac_ntrc__wt_cytd__2,-0.839338643,-1.6199002930000002,0.4355141155
nac_ntrc__wt_gln__1,3.1073558664,2.496583519,0.9296836405000001
nac_ntrc__wt_gln__2,3.5370186018,2.631553702,0.7808863245000001
nac_ntrc__bw_delnac_csn__1,1.8140094287,1.616603709,0.9823133015000001
nac_ntrc__bw_delnac_csn__2,1.5339161396,-0.6929160520000001,0.5109296265000001
nac_ntrc__bw_delnac_cytd__1,0.7510059599000001,-0.435634603,0.4909895845
nac_ntrc__bw_delnac_cytd__2,0.9371142607,-0.41213476200000004,0.3315756375
nac_ntrc__bw_delnac_gln__1,5.3627976681,2.474371886,1.1338019695
nac_ntrc__bw_delnac_gln__2,6.4522650998,2.617580598,0.8423167795000001
nac_ntrc__bw_delnac_nh4__1,0.2778552064,-0.9291518750000001,4.1206323985
nac_ntrc__bw_delnac_nh4__2,0.1491682694,-1.315528775,4.1800953755
misc__wt_no_te__1,3.7471002278,1.413792656,0.47294876550000003
misc__wt_no_te__2,2.9122439253,0.7830216520000001,0.4528387015
misc__bw_delcbl__1,-0.2914528554,-1.081315711,0.3330587775
misc__bw_delcbl__2,-0.4192374614,-0.954396942,0.4261567565
misc__bw_delfabr__1,-0.764289379,-2.518262859,5.0187083265
misc__bw_delfabr__2,-1.1091864053,-2.35087058,5.0665612585
misc__bw_delfadr__1,0.1810107381,-0.9745280510000001,2.3434754145
misc__bw_delfadr__2,0.2616205947,-1.020082467,2.6874843105
misc__nitr_031__1,7.8255878205,2.774370198,0.2716637885
omics__wt_glu__1,0.965075733,0.133922031,0.9750987565
omics__wt_glu__2,0.6748969259,-0.040593065000000005,1.1510341975
omics__wt_gly__1,3.5335044634,0.22652527200000003,0.7552429835000001
omics__wt_gly__2,4.4615777494,0.155657544,0.5501307025000001
omics__wt_thr__1,5.0726138045,2.823444508,1.0339362845
omics__wt_thr__2,5.2232063481,2.801905108,1.1341204635
omics__bw_ac__1,-3.1758721824,-0.633346965,2.0972930665
omics__bw_ac__2,-2.9971199237,-0.642972573,2.2616698835
omics__bw_fum__1,-2.6443913754,-3.150607337,3.5078887705
omics__bw_fum__2,-2.0967323684,-2.974262345,3.2427790975
omics__bw_glc__1,-1.427068199,-0.99530305,0.8449404515000001
omics__bw_glc__2,-1.7480028911,-0.9655629410000001,0.8526082915000001
omics__bw_pyr__1,-3.749543227,-3.009993231,0.5572991685
omics__bw_pyr__2,-3.0610650651,-3.757053129,1.0259083735
ompr__wt_nacl__1,3.1945315391,1.346079963,1.3184003295
ompr__wt_nacl__2,4.3638424019,1.208134007,0.9939089385000001
ompr__bw_delompr_nacl__1,4.1746464319,-1.159721878,2.0060834595
ompr__bw_delompr_nacl__2,4.2359060627,-1.189588767,1.7740441545
minspan__wt_ade__1,-2.0676787746,-0.9370504780000001,1.2541238005
minspan__wt_glc__2,1.2363117613,0.129956004,4.3815072635
minspan__wt_glc__3,0.8121281934,-0.098062514,4.5542461755
minspan__wt_glc__4,1.0307975221,-0.443745241,4.5180164875
minspan__wt_glc_anaero__1,0.4454354104,1.246332302,5.3340936845
minspan__wt_glc_anaero__2,0.6280464512,1.15845545,5.0238996225
minspan__wt_trp__1,1.1151315938,1.105586774,4.8530707655
minspan__bw_delcra_glc__2,0.3072969593,0.730496867,1.1910176015
