,yafJ
Cr_1,-0.00025547961281657393
Cr_2,0.0012669908473138547
Cr_3,0.00781581102144605
Cr_4,0.01917291776667405
Cr_5,0.035062048001742674
Cr_6,0.04119367170206811
Fe_1,-0.016723211122222918
Fe_2,-0.020003387341241786
Fe_3,-0.010562476436605659
Fe_4,-0.01669204309655713
Fe_5,-0.017290086681327987
Fe_6,-0.012314739664825705
Cd_1,0.0002564907592239447
Cd_2,-0.005413028534656072
Cd_3,-0.0043818929216238285
Cd_4,-0.0055937770177467575
Cd_5,-0.015522885101333973
Cd_6,-0.014502444665439191
Zn_1,0.0023503873384382477
Zn_2,0.009532940772920028
Zn_3,0.01988907690910173
Zn_4,0.016122050814581526
Zn_5,0.012841781358223241
Zn_6,0.02599267775730995
Cu_1,-1.4196252552799467e-05
Cu_2,-0.001359814903126267
Cu_3,0.00031469064447564045
Cu_4,0.008355406070669969
Cu_5,0.014068411843101971
Cu_6,0.01798603836799446
Pb_1,0.007559235038634078
Pb_2,0.014187837754419572
Pb_3,0.021238256702325136
Pb_4,0.015313908458496997
Pb_5,0.02209548105162921
Pb_6,0.023200687135281117
