,yjfI
Cr_1,0.0029892008045053547
Cr_2,0.008064869582888481
Cr_3,0.011439504046170137
Cr_4,0.01635663676372549
Cr_5,0.021648911863893956
Cr_6,0.0256684573639127
Fe_1,0.001148319055402344
Fe_2,0.022372036595247
Fe_3,0.058479319441761074
Fe_4,0.0921437731605308
Fe_5,0.1182150330458138
Fe_6,0.1355286414578215
Cd_1,0.0021036015031367533
Cd_2,0.005056681773906988
Cd_3,0.009392562417942663
Cd_4,0.01294181364784324
Cd_5,0.011856168951553458
Cd_6,0.015075062059818132
Zn_1,0.00033305920419949436
Zn_2,0.01805236097453782
Zn_3,0.04491055746434615
Zn_4,0.06810292233176132
Zn_5,0.07798365674452146
Zn_6,0.08252673859750734
Cu_1,0.005762724474995281
Cu_2,0.01280199290469067
Cu_3,0.01762178320246561
Cu_4,0.023551936686436983
Cu_5,0.02903192546504931
Cu_6,0.035384048548831634
Pb_1,0.0013189711467353569
Pb_2,0.002621960563659086
Pb_3,0.010868246394536714
Pb_4,0.01775336578441526
Pb_5,0.02988821024375458
Pb_6,0.04030065839065762
