,asr
Cr_1,-0.004288207184355311
Cr_2,-0.008860132973082566
Cr_3,-0.0119554758461333
Cr_4,-0.014698844650308688
Cr_5,-0.014829385167248412
Cr_6,-0.018210208560910667
Fe_1,-0.0016190321438369455
Fe_2,-0.01094812005297618
Fe_3,-0.028678641525169482
Fe_4,-0.05297801635392685
Fe_5,-0.07281574898233552
Fe_6,-0.08884440952520464
Cd_1,-0.00018563469669189664
Cd_2,0.0029291352562570146
Cd_3,0.0060454496246201425
Cd_4,0.006125678190525967
Cd_5,0.0005292058243089077
Cd_6,0.0017404737716216535
Zn_1,-0.0011658836201433008
Zn_2,-0.004005003510751314
Zn_3,-0.0016356615662659964
Zn_4,0.0117429629467672
Zn_5,0.027937391109374883
Zn_6,0.07389666665826163
Cu_1,0.00594852442852207
Cu_2,0.012298966212943373
Cu_3,0.016897832745309666
Cu_4,0.022575294649589784
Cu_5,0.029357891068111694
Cu_6,0.04160505473898673
Pb_1,0.00382267543068895
Pb_2,0.011451691958299324
Pb_3,0.01968915304579944
Pb_4,0.028373781736376707
Pb_5,0.03764905892619142
Pb_6,0.044147371394951895
