,racR
Cr_1,-0.0048387427684194115
Cr_2,-0.005330088775774793
Cr_3,0.0008736309508868607
Cr_4,-0.002120377399534433
Cr_5,-0.0016071225875491735
Cr_6,-0.00759533995876662
Fe_1,-0.3331646682538448
Fe_2,-0.10216118640150763
Fe_3,-0.06416786889805406
Fe_4,-0.2819320195927658
Fe_5,-0.07359767683592157
Fe_6,-0.10455584964234244
Cd_1,-0.002350117868865649
Cd_2,0.0039529280626656605
Cd_3,0.01247578887485216
Cd_4,0.02112527323048896
Cd_5,0.017993724515647524
Cd_6,0.021762499033638426
Zn_1,-0.025910451775905445
Zn_2,-0.03169705857013943
Zn_3,0.0075937291409876595
Zn_4,-0.010297908499383349
Zn_5,-0.037045553812872827
Zn_6,-0.05807942898233848
Cu_1,0.013536551509955657
Cu_2,0.00866664958729799
Cu_3,0.01670437612918915
Cu_4,0.02759874744362293
Cu_5,0.03159136760568093
Cu_6,0.037435140439937585
Pb_1,0.0453369921553978
Pb_2,0.13455511220442196
Pb_3,0.14506027421060974
Pb_4,0.1639653750934114
Pb_5,0.14876334887502704
Pb_6,0.09283541619586456
