,PA2746a
SRX7442752,-0.033132246000000004
SRX7442753,0.033132246000000004
SRX7442754,2.775478647
SRX7442755,3.332619158
SRX7442756,1.332240361
SRX7442757,2.240582369
SRX7442758,2.232847766
SRX7442759,3.3177173890000002
SRX7442761,3.735726947
SRX7874204,-0.26141904800000004
SRX7874205,0.261419049
SRX7874206,-0.14605125600000002
SRX7874207,-0.09636997100000001
SRX8639787,0.08198189900000001
SRX8639788,-0.08198189800000001
SRX8639789,0.659861184
SRX8639790,1.192345096
SRX8639791,-0.184316106
SRX8639792,-0.282289491
SRX8639793,-0.288791157
SRX8639794,-0.24289259600000002
SRX8639795,-0.12293335600000001
SRX8639796,-0.23713551600000002
SRX8639797,-0.269449967
SRX8639798,0.09762672400000001
SRX8639800,0.574082596
SRX1156127,0.27376522200000003
SRX1156135,-0.27376522200000003
SRX1156136,-0.372768305
SRX1156137,-0.34781306900000003
SRX1156138,0.191821284
SRX1156140,0.479359034
ERX2195929,-0.22731072700000002
ERX2195930,0.22731072700000002
ERX2195931,-2.31744989
ERX2195932,-1.589764486
ERX2195933,-0.42863941800000005
ERX2195934,-0.714921197
SRX4579961,0.07137773700000001
SRX4579962,0.002643167
SRX4579963,-0.074020903
SRX4579964,-2.730318645
SRX4579965,-2.786729841
SRX4579966,-2.27853968
SRX5630349,0.44908497
SRX5630350,-0.44908497
SRX5630351,0.127566927
SRX5630352,0.8084181250000001
SRX1411278,-0.130743987
SRX1411287,0.434791303
SRX1411289,0.5742997830000001
SRX1411279,0.057602893
SRX1411280,0.073141093
SRX1411281,0.40223023300000005
SRX1411282,0.6624589430000001
SRX1411283,0.45780753300000004
SRX1411284,0.26049220300000003
SRX1411285,0.194296733
SRX1411286,0.37758264300000005
SRX1411288,0.351661573
SRX2711962,-0.072328296
SRX2711963,0.072328296
SRX2711964,0.8222525060000001
SRX2711965,0.776670276
SRX2711966,0.6904458560000001
SRX2711967,1.235963876
ERX3558798,-0.172609809
ERX3558799,1.094122354
ERX3558800,1.7282864610000002
ERX3558801,1.836188686
ERX3558802,-0.100154934
ERX3558803,-0.10114237400000001
ERX3558804,-0.390772946
ERX3558805,0.592070255
ERX3593017,3.817915491
ERX3593018,3.613791402
ERX3593020,0.097201335
ERX3593021,0.096219492
ERX3593022,-0.19342082800000002
SRX7058492,0.431271528
SRX7058494,0.099173278
SRX7058495,0.085678528
SRX7058509,-0.431271528
SRX2662717,-1.5365760860000002
SRX2662718,-1.3848550990000001
SRX2662721,0.09275073
SRX2662722,-0.09275073
SRX8143226,-0.043805862
SRX8143227,0.043805862
SRX8143228,0.105322963
SRX8143229,0.9122869680000001
ERX2456848,1.6050918570000001
ERX2456849,1.952856957
ERX2456850,2.189037002
ERX2456851,-1.8270167700000002
ERX2456852,-1.784667238
ERX2456853,-1.6775708530000002
ERX2456854,1.8933500950000002
ERX2456855,1.699939257
ERX2456856,2.056075104
ERX2456857,-2.167528608
ERX2456858,-1.4049179299999999
ERX2456859,-2.076917916
SRX540108,0.20781390200000002
SRX540109,-0.20781390200000002
SRX540110,0.037098813
SRX540111,-0.16795147900000001
SRX540112,3.62564017
SRX540113,3.536235903
SRX540114,1.626543518
SRX540115,1.7210453870000002
SRX1737662,-0.7167030470000001
SRX1737664,-0.41711039600000005
SRX1737665,-0.685791527
SRX1737667,-0.310342035
SRX1737668,0.20423532
SRX1737670,0.106106714
SRX1516139,0.020074563
SRX1516140,-0.020074564
SRX1516141,0.613555696
SRX1516142,0.20768929100000003
SRX591667,0.11439955
SRX591668,-1.516488634
SRX591669,-2.317648417
SRX591670,-2.190207725
SRX591671,-2.6608718920000003
SRX591675,-0.114399549
SRX591676,0.647495327
SRX591677,-0.009970352
SRX591678,-0.279561861
SRX591679,-1.700586176
SRX2520351,0.35937471
SRX2520352,0.46134215
SRX2520353,0.26465903
SRX2520354,-0.362557779
SRX2520355,-0.339815277
SRX2520356,-0.28040585100000004
SRX2520357,-0.200495732
SRX2520358,-0.31158562100000003
SRX2520359,-0.181224606
SRX2520360,-0.031501532
SRX2652927,2.286703126
SRX2652931,2.93059967
SRX2652933,-0.8303409020000001
SRX2652935,-0.147695756
SRX2652937,0.978036659
SRX2940624,-0.435427916
SRX2940626,0.071669335
SRX2940627,-0.100302151
SRX2940628,-0.069062593
SRX2940629,0.169364745
SRX3763712,0.018921055000000003
SRX3763714,-0.018921055000000003
SRX3763715,0.6459202150000001
SRX3763716,0.5655002050000001
SRX3763717,0.740852265
ERX2259197,0.486307973
ERX2259198,-0.188979595
ERX2259199,-0.054664883000000004
ERX2259200,0.054664883000000004
SRX6976948,0.018259352
