,hsdM
Cr_1,0.009111138006194772
Cr_2,0.013584055393505129
Cr_3,0.015964887787455112
Cr_4,0.023302016428726598
Cr_5,0.02996014110239525
Cr_6,0.03423657438084931
Fe_1,-0.02000587619198552
Fe_2,-0.05645525826429794
Fe_3,-0.09497972195356373
Fe_4,-0.10023418920727492
Fe_5,-0.1049317981473986
Fe_6,-0.10935584385167026
Cd_1,0.01944614845707188
Cd_2,0.040761191184072516
Cd_3,0.06481004919450302
Cd_4,0.07418139588781263
Cd_5,0.07937401548365879
Cd_6,0.08709514064564024
Zn_1,-0.02255389887162016
Zn_2,-0.012628197800296174
Zn_3,-0.005434592170772105
Zn_4,0.04071367334407544
Zn_5,0.035850985744532916
Zn_6,0.1319840175262067
Cu_1,-0.0013369349427770456
Cu_2,0.0008234347509585007
Cu_3,0.00798029099221788
Cu_4,0.014129996707543344
Cu_5,0.0262381702584611
Cu_6,0.03829322854219695
Pb_1,0.016970300992561443
Pb_2,0.0253829951302934
Pb_3,0.02686087028369807
Pb_4,0.05159878813114285
Pb_5,0.07975045862573073
Pb_6,0.09724505740967757
