,PSPTOB0019
SRX1828913,0.0657213021
SRX1828914,-0.24043375050000002
SRX1828915,-0.0231517205
SRX1828916,-0.1847722374
SRX1828917,-0.0425695816
SRX1828918,-0.49490783
SRX3983989,0.7132188508
SRX3983990,0.0877901084
SRX3983993,0.6222692080000001
SRX3983994,0.3070668554
SRX3983995,0.2350771582
SRX3983996,0.5970451569
SRX3983997,0.9219896406
SRX3983998,0.32960435460000004
SRX3983999,0.49302958680000003
SRX3984000,0.5986979489
SRX3984001,1.0916580319
SRX3984002,1.2582486326
SRX3984003,0.7640252912000001
SRX3984004,0.3113863471
SRX3984005,0.4476815341
SRX3984006,1.1316340778
SRX3984007,-0.0343913732
SRX3984008,0.33025968370000003
SRX3984009,0.0039452982
SRX3984010,2.1093937391
SRX3984011,0.38294551990000003
SRX3984012,0.0415399144
SRX3984013,0.1816731407
SRX3984014,0.058573092300000004
SRX3984015,0.47864445450000004
SRX3984016,0.0028729553
SRX3984017,2.0900819707
SRX3984019,0.0670889477
SRX3984020,1.7321145708999999
SRX3984021,1.6873955541
SRX3984022,1.9514226488
SRX3984023,0.050445337800000004
SRX3984024,0.32674563840000004
SRX3984025,0.6846457669
SRX3984026,0.5623624916000001
SRX3984027,0.5985425123
SRX3984028,0.3795141735
SRX3984029,0.5754023994
SRX3984031,1.5854938308
SRX3984032,1.6005528624
SRX3984034,-0.024070354800000002
SRX3984035,-0.5117957774
SRX3984036,2.2192401724
SRX3984037,1.9415959123
SRX3984038,2.4087208103
SRX3984039,2.0020557464
SRX3984040,0.6087918383
SRX3984041,2.2732904622
SRX3984042,-0.0308460222
SRX3984043,-0.1851873134
SRX3984045,-0.2646312751
SRX3984046,0.0954257111
SRX3984047,1.359042743
SRX3984048,0.6116982437
SRX3984049,0.3766069402
SRX3984050,0.175844091
SRX3984051,1.3940817478
SRX3984052,0.0309476232
SRX3984056,1.4707419623
SRX3984057,1.1793549186
SRX3984058,1.7453240196
SRX3984059,0.0008094980000000001
SRX3984061,-0.0768858784
SRX3984062,0.1258150925
SRX3984063,0.0424430721
SRX3984064,0.0279185931
SRX3984065,0.2222142893
SRX3984066,0.2738554763
SRX3984067,0.11546058340000001
SRX3984068,0.1810132589
SRX3984069,0.4625701413
SRX3984070,1.0784799533
SRX3984071,0.9479917925
SRX3984073,0.3873100761
SRX3984074,0.5441600269
SRX3984077,0.0940258866
SRX3984078,0.0313361782
SRX3984079,1.0927097481
SRX3984080,-0.121800694
SRX3984082,0.1792861881
SRX3984084,1.5574844522
SRX6997963,0.113263214
SRX6997964,0.027394305400000003
SRX6997965,-0.0103753613
SRX6997967,0.2034060211
SRX6997968,-0.0132613522
SRX6997969,0.06879694110000001
SRX6997971,-0.3166692351
SRX6997972,0.1736249117
SRX6997973,0.0885997209
SRX3159100,0.0448959154
SRX3159101,-0.1645405275
SRX3159102,0.0916666025
SRX3159103,0.027978009600000003
SRX3159000,0.19548858970000002
SRX3159001,0.2806322696
SRX3159002,-0.23759345410000002
SRX3159003,-0.27414904290000003
SRX3159004,-0.16581188700000002
SRX3159005,0.2124573987
SRX3159006,-0.0715446986
SRX3159007,0.1944057894
SRX3159008,0.11178103360000001
SRX3159009,0.421263492
SRX3159010,0.0727496589
SRX3159012,0.0978982396
SRX3159013,0.1720520388
SRX3159014,-0.34706837830000004
SRX3159015,-0.3244886783
SRX3159016,-0.4285852208
SRX3159017,-0.07264395900000001
SRX3159018,0.33494155340000004
SRX3159019,-0.2224049288
SRX3159020,0.2465389399
SRX3159021,0.060906477
SRX3159022,0.21385850280000002
SRX3159023,-0.1982353851
SRX3159024,-0.0226798426
SRX3159025,0.0228400403
SRX3159026,0.5656531596000001
SRX3159027,0.13228049420000002
SRX3159028,-0.4239107232
SRX3159029,0.1601045955
SRX3159030,0.26677280070000003
SRX3159034,-0.36052194260000003
SRX3159036,0.0737336888
SRX3159037,0.09342175350000001
SRX3159041,0.4656245499
SRX3159042,-0.0414440264
SRX3159043,0.3670094412
SRX3159045,0.3878601754
SRX3159047,0.46796997300000004
SRX3159048,-0.7876142508
SRX3159049,0.08293809960000001
SRX3159050,0.1710757571
SRX3159051,0.11648321710000001
SRX3159052,-0.015810208000000003
SRX3159053,0.1122755683
SRX3159054,0.1253300598
SRX3159055,0.5505634039
SRX3159056,0.1391805142
SRX3159057,0.1303037621
