,dedA
Cr_1,-0.0019667479967045267
Cr_2,-0.003923658789775091
Cr_3,-0.003570071897891695
Cr_4,-0.002438169452251738
Cr_5,-0.0038453265997513203
Cr_6,-0.006895247864577725
Fe_1,-0.0019694113343533288
Fe_2,-0.01002641518061702
Fe_3,-0.015741800644892546
Fe_4,-0.02852113831422927
Fe_5,-0.039346188605946984
Fe_6,-0.04451887210973052
Cd_1,0.012130594151883731
Cd_2,0.028702130698052986
Cd_3,0.04343810514226505
Cd_4,0.05696664052632897
Cd_5,0.06656433452379942
Cd_6,0.08346987090113461
Zn_1,-0.006820040542598705
Zn_2,-0.00587700862706021
Zn_3,0.005581304044177692
Zn_4,0.02637805975794029
Zn_5,0.04318722211010472
Zn_6,0.05598501254567125
Cu_1,0.0013710280174841199
Cu_2,0.005415149390296897
Cu_3,0.010238801701070421
Cu_4,0.01412073136638169
Cu_5,0.02000992799821386
Cu_6,0.02373098396973729
Pb_1,0.0114633911976302
Pb_2,0.0205452333890765
Pb_3,0.034090619382121434
Pb_4,0.03967595088437316
Pb_5,0.045523261561151517
Pb_6,0.05325727487396506
