,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
0,AB0057_PGcoculture__PGAB,6.1314198141,7.755796130311203,3.0,0.0,4.293120671,1.0,-0.5400739211,2.0,14.6412126924,,
1,AB0057_PGcoculture__AB ,3.469446951953614e-18,0.22770744227266534,4.0,3.0,-0.2036371246,4.0,0.2848900145,5.0,-0.1623240679,6.0,0.08107117800000001
2,AB0057_PGcoculture__ABPG,-6.7608388951,1.4694487577513726,4.0,7.0,-7.6301718217,8.0,-7.6485032013000005,9.0,-4.5802973341,10.0,-7.1843832233
3,AB5075_AZI__AZI_000,0.0,0.9961832736464233,2.0,11.0,0.7044079481000001,17.0,-0.7044079481000001,,,,
4,AB5075_AZI__preculture,-25.153116943500002,0.024284936952782762,2.0,12.0,-25.1702889871,13.0,-25.1359448999,,,,
5,AB5075_AZI__AZI_040,-58.97331343405,0.4340605109669117,2.0,14.0,-58.6663863033,18.0,-59.2802405648,,,,
6,AB5075_AZI__AZI_028,-20.8504169377,2.5044330647322766,2.0,15.0,-19.0795153346,19.0,-22.6213185408,,,,
7,AB5075_AZI__AZI_003,-0.60106658445,0.9426070447684748,2.0,16.0,-1.2675904178000001,20.0,0.0654572489,,,,
8,AB5075_VIR-O_AV-T__AV-T/vector,-6.3107931596,2.180703904099154,3.0,21.0,-7.8939399937,28.0,-3.8234296336,29.0,-7.2150098515,,
9,AB5075_VIR-O_AV-T__VIR-O/vector,0.0,3.2864050909849634,3.0,22.0,-3.5330911586,23.0,0.5672088581,24.0,2.9658823005,,
10,AB5075_VIR-O_AV-T__VIR-O/1645,-10.347321811999999,0.756535985015503,3.0,25.0,-9.7045353784,26.0,-11.1810292851,27.0,-10.1564007725,,
11,AB5075_VIR-O_LSO__VIR-O,0.0,0.6980589883279572,3.0,30.0,-0.7875633561000001,32.0,0.2451400914,34.0,0.5424232647,,
12,AB5075_VIR-O_LSO__LSO,1.3149047013,2.815539875586955,3.0,31.0,0.395894819,33.0,-0.9262996011,35.0,4.475118886,,
13,AB5075_Zinc__Control,0.0,25.304506945621046,3.0,36.0,-11.3100722418,37.0,28.9869835573,38.0,-17.6769113155,,
14,AB5075_Zinc__Zinc,-15.37621429895,4.603196781380159,2.0,39.0,-12.1212626397,40.0,-18.6311659582,,,,
15,AB5075_biofilm+abx__planktonic,-2.9605947323337506e-16,9.432452281222574,3.0,41.0,-10.891644297300001,42.0,5.4310095405,44.0,5.4606347568,,
16,AB5075_biofilm+abx__biofilm,-32.909815097700005,6.293640185905103,3.0,43.0,-40.1562293951,45.0,-28.8101452931,46.0,-29.7630706049,,
17,AB5075_biofilm+abx__cip_biofilm,-39.63412737263334,4.518274282078182,3.0,47.0,-40.035751273,48.0,-34.9284484799,50.0,-43.938182365,,
18,AB5075_biofilm+abx__tet_biofilm,-34.97264890233333,3.3520167915506276,3.0,49.0,-32.4736361964,51.0,-33.6624251538,52.0,-38.7818853568,,
19,AB5075_gigAB__kan_gigB,6.190994013066667,0.08367192564309933,3.0,53.0,6.141887803,54.0,6.1434886263,55.0,6.2876056099,,
20,AB5075_gigAB__gigB,7.438861056366666,1.4774131090188716,3.0,56.0,6.9581054961,57.0,6.2617039822,58.0,9.0967736908,,
21,AB5075_gigAB__kan_gigA,6.014794521500001,0.3289111980970095,3.0,59.0,5.6350042255,60.0,6.203249346,61.0,6.206129993,,
22,AB5075_gigAB__gigA,0.9052129880333334,1.8757069312131887,3.0,62.0,2.7861658602,63.0,-0.9652036135000001,64.0,0.8946767174,,
23,AB5075_gigAB__kan_WT,5.3863303774,0.6427074901978183,3.0,65.0,5.9555522948,66.0,5.5141060389,67.0,4.6893327985,,
24,AB5075_gigAB__WT,0.0,2.235206298529114,3.0,68.0,-0.5179279158,69.0,2.4487037147,70.0,-1.9307757989,,
25,AB5075_med__CA-MHB,7.691536650050001,0.30606543864116087,2.0,71.0,7.4751157029,72.0,7.9079575972,,,,
26,AB5075_med__CA-MHB_pH6,4.40518692885,9.601172695668046,2.0,73.0,-2.3838673916,74.0,11.1942412493,,,,
27,AB5075_med__RPMI+_pH7,8.59983625295,1.4216429863155224,2.0,75.0,7.5945828569,76.0,9.605089649,,,,
28,AB5075_med__RPMI+_pH6,7.4808137773,7.537254170801035,2.0,77.0,12.810457313,78.0,2.1511702416,,,,
29,AB5075_med__RPMI+_-HCO3,3.15029892505,0.7155802105318947,2.0,79.0,3.6562905444,80.0,2.6443073057,,,,
30,AB5075_med__LB,0.0,0.6846279475465592,2.0,81.0,0.4841050643,82.0,-0.4841050643,,,,
31,AB5075_med__M9+AA,4.766701969950001,2.8145361204292505,2.0,83.0,2.7765243933,84.0,6.7568795466000005,,,,
32,AB5075_med__M9-AA,9.30017475655,0.004900676166880274,2.0,85.0,9.2967094552,86.0,9.303640057900001,,,,
33,AYE_adeB__WT,-4.625929269271485e-18,0.44468460319933034,3.0,87.0,0.4769678571,88.0,-0.403167394,89.0,-0.0738004631,,
34,AYE_adeB__adeB,4.742981374066667,0.7046675935873514,3.0,90.0,4.5653197541,91.0,4.144146801,92.0,5.5194775671,,
35,COL__0ug/ml,0.0,16.938273463877596,2.0,93.0,-11.9771680279,94.0,11.9771680279,,,,
36,COL__0.25ug/ml,2.4487462663,1.8887589482014269,2.0,95.0,3.7843005266,96.0,1.113192006,,,,
37,COL__1ug/ml,9.8110322645,10.413549562689568,2.0,97.0,2.4475407525,98.0,17.1745237765,,,,
38,H2O2__0ug/ml,0.0,7.7815946831492235,2.0,99.0,5.5024183689,100.0,-5.5024183689,,,,
39,H2O2__1.25ug/ml,-3.5213240676,1.559642819786581,2.0,101.0,-2.4184900535000002,102.0,-4.6241580817,,,,
40,H2O2__2.5ug/ml,0.9904840643500001,2.9373212101922275,2.0,103.0,3.0674838106,104.0,-1.0865156819,,,,
41,H2O2__5ug/ml,7.0644006989,0.3224123428959947,2.0,105.0,6.8364207449,106.0,7.2923806529,,,,
42,MRP__0ug/ml,0.0,7.299337020130099,2.0,107.0,5.1614107051,108.0,-5.1614107051,,,,
43,MRP__25ug/ml,2.1916983788000004,10.166678048733678,2.0,109.0,9.3806253692,110.0,-4.9972286116,,,,
44,MRP__100ug/ml,-3.6888698033000002,1.6882213820617664,2.0,111.0,-2.4951170159,112.0,-4.8826225907000005,,,,
45,MRP__200ug/ml,-1.2960982572500002,4.5409962576824565,2.0,113.0,-4.5070675044,114.0,1.9148709899,,,,
46,growth__2h,0.0,7.565519885020974,2.0,115.0,5.3496304139,116.0,-5.3496304139,,,,
47,growth__4h,20.36135722275,13.888346023454645,2.0,117.0,30.1819008754,118.0,10.5408135701,,,,
48,growth__6h,35.122582684449995,5.32914539445756,2.0,119.0,38.8908575308,120.0,31.3543078381,,,,
49,growth__8h,27.0372250661,2.7269542479345743,2.0,121.0,28.9654729068,122.0,25.1089772254,,,,
50,growth__10h,15.349117776499998,2.103243927606522,2.0,123.0,16.8363358202,124.0,13.8618997328,,,,
51,mutants__WT,0.0,2.3819390138978953,2.0,125.0,1.6842852291,126.0,-1.6842852291,,,,
52,mutants__R7,-0.19545919434999998,0.893294244032088,2.0,127.0,0.43619522320000004,128.0,-0.8271136119,,,,
53,mutants__gacA,-33.85215565525,0.24089941064369835,2.0,129.0,-34.0224972621,130.0,-33.6818140484,,,,
54,vacJ_LL-37__WT,0.0,2.3902990061328455,2.0,131.0,-1.6901966363,132.0,1.6901966363,,,,
55,vacJ_LL-37__WT+LL-37,-10.546865912800001,3.3763295219624747,2.0,133.0,-8.1594404123,134.0,-12.9342914133,,,,
56,vacJ_LL-37__vacJ,-4.37355219875,5.148640843665638,2.0,135.0,-0.7329133443,136.0,-8.0141910532,,,,
57,vacJ_LL-37__vacJ+LL-37,-4.42370222295,1.2634914662405123,2.0,137.0,-5.3171256067,138.0,-3.5302788392,,,,
