,A,ABUW_1645
R2,,0.0
xmin,,-2.7793908819
xmid,,
xmax,,7.6622106786
ystart,,-2.2975028901496404
yend,,-2.2975028901496404
AB0057_PGcoculture__PGAB__1.0,4.293120671,0.006508201900000001
AB0057_PGcoculture__PGAB__2.0,-0.5400739211,0.1586859168
AB0057_PGcoculture__PGAB__3.0,14.6412126924,0.2226886721
AB0057_PGcoculture__AB __1.0,-0.2036371246,0.1149881162
AB0057_PGcoculture__AB __2.0,0.2848900145,0.19959978720000002
AB0057_PGcoculture__AB __3.0,-0.1623240679,-0.0094332719
AB0057_PGcoculture__AB __4.0,0.08107117800000001,-0.3051546316
AB0057_PGcoculture__ABPG__1.0,-7.6301718217,-0.6758850737000001
AB0057_PGcoculture__ABPG__2.0,-7.6485032013000005,-0.6534623868
AB0057_PGcoculture__ABPG__3.0,-4.5802973341,0.0247865526
AB0057_PGcoculture__ABPG__4.0,-7.1843832233,-0.8490373926
AB5075_AZI__AZI_000__1.0,0.7044079481000001,0.2859452678
AB5075_AZI__preculture__1.0,-25.1702889871,-1.1376098245
AB5075_AZI__preculture__2.0,-25.1359448999,-1.4530477331
AB5075_AZI__AZI_040__1.0,-58.6663863033,0.0455942687
AB5075_AZI__AZI_028__1.0,-19.0795153346,0.5075255922
AB5075_AZI__AZI_003__1.0,-1.2675904178000001,-0.1036537007
AB5075_AZI__AZI_000__2.0,-0.7044079481000001,-0.2859452678
AB5075_AZI__AZI_040__2.0,-59.2802405648,-0.1258317085
AB5075_AZI__AZI_028__2.0,-22.6213185408,0.0641401021
AB5075_AZI__AZI_003__2.0,0.0654572489,-0.29629702480000003
AB5075_VIR-O_AV-T__AV-T/vector__1.0,-7.8939399937,1.7334509728
AB5075_VIR-O_AV-T__VIR-O/vector__1.0,-3.5330911586,0.0310264689
AB5075_VIR-O_AV-T__VIR-O/vector__2.0,0.5672088581,0.7904198704000001
AB5075_VIR-O_AV-T__VIR-O/vector__3.0,2.9658823005,-0.8214463392
AB5075_VIR-O_AV-T__VIR-O/1645__1.0,-9.7045353784,7.5086020171
AB5075_VIR-O_AV-T__VIR-O/1645__2.0,-11.1810292851,7.4309639364
AB5075_VIR-O_AV-T__VIR-O/1645__3.0,-10.1564007725,7.6622106786
AB5075_VIR-O_AV-T__AV-T/vector__2.0,-3.8234296336,2.123239949
AB5075_VIR-O_AV-T__AV-T/vector__3.0,-7.2150098515,2.460949407
AB5075_VIR-O_LSO__VIR-O__1.0,-0.7875633561000001,-0.2677283258
AB5075_VIR-O_LSO__LSO__1.0,0.395894819,-0.7363566629
AB5075_VIR-O_LSO__VIR-O__2.0,0.2451400914,-0.0784677466
AB5075_VIR-O_LSO__LSO__2.0,-0.9262996011,-0.7466909604
AB5075_VIR-O_LSO__VIR-O__3.0,0.5424232647,0.3461960724
AB5075_VIR-O_LSO__LSO__3.0,4.475118886,-0.48111618840000003
AB5075_Zinc__Control__1.0,-11.3100722418,-0.1115285554
AB5075_Zinc__Control__2.0,28.9869835573,2.7099393593
AB5075_Zinc__Control__3.0,-17.6769113155,-2.5984108039000002
