,A,CcpA
R2,,0.04381808935703102
xmin,,7.6659798018
xmid,,
xmax,,10.5533580836
ystart,,-31.411676470383355
yend,,-9.740444876968041
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,-0.953452288,9.3573323362
USA300_LAC_U01-Set001_CAMHB_Control_1,0.09002295,9.6687178287
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,-1.92988341,9.6426255934
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,-2.384675212,9.7190260839
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,-3.40719121,9.5778680414
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,-0.419786343,9.3736810409
USA300_LAC_U01-Set001_CAMHB_Control_2,-0.09002295,9.7340730898
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,-1.810619145,9.6696172991
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,-1.698115024,9.656578007
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,-3.383026488,9.6645857057
USA300_TCH1516_U01-Set000_CAMHB_Control_1,0.083257985,10.212704491
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,1.128577421,10.03671529
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,0.2410225,10.249708197
USA300_LAC_U01-Set001_R10LB_PreCulture_1,-31.87824514,9.1125540558
USA300_LAC_U01-Set001_R10LB_PreCulture_2,-30.56911891,8.8260145106
USA300_LAC_U01-Set001_R10LB_Control_1,-31.66205217,10.0759879634
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,-31.39287928,10.0773961673
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,-30.73541256,10.0989853416
USA300_LAC_U01-Set001_R10LB_Control_2,-31.1883936,9.9310854824
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,-30.51350585,9.9678547815
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,-31.25418836,9.9679016987
USA300_TCH1516_U01-Set000_R10LB_Control_1,-44.19698029,9.7887423138
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,-43.79842716,9.8390540237
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,-44.74277064,9.7800691192
USA300_TCH1516_U01-Set000_R10LB_Control_2,-44.66303784,9.4214892045
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,-43.37330347,9.635770752900001
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,-43.60241866,9.7202419182
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,-15.70519752,9.3491803774
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,-14.07310334,9.3856154597
USA300_TCH1516_U01-Set000_CAMHB_Control_2,-0.083257985,10.0622898786
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,0.49346235600000005,10.0310889124
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,0.324728879,10.111751749
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,-1.590030843,10.234039104
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,-0.979983217,10.2005711712
USA300_LAC_U01-Set004_CAMHB_Control_1,-0.973789109,9.9655367778
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,-0.250612172,10.2553998015
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,-2.075111009,10.3675086672
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,-20.00953181,9.9466639682
USA300_LAC_U01-Set004_CAMHB_Control_2,-2.140691401,9.895319663
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,-0.9318469180000001,10.2354675648
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,-3.360763571,10.2849505907
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,-19.90112011,10.0210230084
USA300_LAC_U01-Set004_R10LB_Control_1,-32.86020412,10.1539134928
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_1,-32.02467713,10.4080129872
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_1,-32.45193961,10.4938614498
USA300_LAC_U01-Set004_R10LB_Control_2,-33.32512324,10.0773908895
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_2,-31.24622083,10.4282481083
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_2,-31.71999944,10.4125002871
USA300_TCH1516_U01-Set003_CAMHB_Control_2,3.5776579330000002,10.2032505236
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_2,1.7987278510000002,10.395306894800001
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_2,3.004826769,10.0166817483
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_2,3.979845189,10.1456233704
USA300_TCH1516_U01-Set003_CAMHB_Control_3,1.599303193,10.153192051
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_3,2.624869523,10.2304180807
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_3,4.357228814,9.8503602726
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_3,3.811657077,10.0227229298
USA300_LAC_ICA-Set001_R10LB_Control_1,-31.09983985,9.9520476484
USA300_LAC_ICA-Set001_R10LB_Control_2,-30.78699354,9.9366917262
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_1,-30.76167894,10.078461065
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_2,-30.69497241,10.1654367244
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_1,-32.00346131,10.2931930336
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_2,-31.65037169,10.2589993493
USA300_LAC_ICA-Set001_R10LB_5.5pH_1,-29.78664949,9.9781239735
USA300_LAC_ICA-Set001_R10LB_5.5pH_2,-29.77576901,9.9323897269
USA300_TCH1516_BK-Set001_THB_Control_1,-36.40345198,7.6659798018
USA300_TCH1516_BK-Set001_THB_Control_2,-39.58532345,8.6583391984
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_1,-40.29091031,9.692617652500001
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_2,-39.61915052,9.6085451406
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_1,-38.54832675,9.4177082776
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_2,-40.1817675,9.081678247
