,narQ
Cr_1,-0.008871556648037305
Cr_2,-0.01247552035125435
Cr_3,-0.014130512474159387
Cr_4,-0.014316876971409563
Cr_5,-0.01845856727640461
Cr_6,-0.013896533629658285
Fe_1,-0.021305818117936533
Fe_2,-0.037678632988358746
Fe_3,-0.04571947037134078
Fe_4,-0.0591608349064507
Fe_5,-0.06423440111553448
Fe_6,-0.06625299856424201
Cd_1,5.358878028804397e-05
Cd_2,0.004759852522483656
Cd_3,0.009842185126925095
Cd_4,0.015208204411052716
Cd_5,0.012681227570147292
Cd_6,0.01618767374875537
Zn_1,-0.005394377630454671
Zn_2,-0.0012339362969758893
Zn_3,0.005858562733732777
Zn_4,0.015632482576565743
Zn_5,0.027264139237639658
Zn_6,0.02993504759269436
Cu_1,0.0025525378187797555
Cu_2,-0.0016193595481107555
Cu_3,-0.0017387143762391706
Cu_4,-0.0004095530406320217
Cu_5,-0.0007499584149852231
Cu_6,0.0027686666838832178
Pb_1,0.006523554704478946
Pb_2,0.01044966402915112
Pb_3,0.022402921101707187
Pb_4,0.034562340912496284
Pb_5,0.04571697496104906
Pb_6,0.05610839010507705
