,trkA
Cr_1,-0.004183115846022257
Cr_2,-0.006123751333900329
Cr_3,-0.005123626852346202
Cr_4,-0.00024997926000292923
Cr_5,0.0055128489779247255
Cr_6,0.01165125896234392
Fe_1,-0.014846254767217529
Fe_2,-0.04518926541120199
Fe_3,-0.09281956439788734
Fe_4,-0.1590181231001657
Fe_5,-0.2186727039187284
Fe_6,-0.2731499761912801
Cd_1,0.014972143988476346
Cd_2,0.02882189507970627
Cd_3,0.04490150164443351
Cd_4,0.06338794954743644
Cd_5,0.07890421306572336
Cd_6,0.10185930157092553
Zn_1,-0.020834036150420083
Zn_2,-0.025949375869395844
Zn_3,-0.01885055661031526
Zn_4,-0.015581191627404253
Zn_5,-0.01745089213718421
Zn_6,-0.019460071262772768
Cu_1,-7.180271120953232e-05
Cu_2,-0.0009354625112999686
Cu_3,-0.0013989645470170846
Cu_4,0.0004597902664111535
Cu_5,7.757438457422617e-05
Cu_6,0.0009106311073502426
Pb_1,0.00022376832743877358
Pb_2,0.002696066322293073
Pb_3,0.01202757921990387
Pb_4,0.013260741186771188
Pb_5,0.013837136016556943
Pb_6,0.02403437827272625
