,dhaM
Cr_1,-0.007184056135418279
Cr_2,-0.009987213048154198
Cr_3,-0.017117870459171833
Cr_4,-0.018198673581006342
Cr_5,-0.01460746139582824
Cr_6,-0.011728322040052823
Fe_1,-0.03156125812733248
Fe_2,-0.06518421645466456
Fe_3,-0.10696598632243633
Fe_4,-0.14294605447550232
Fe_5,-0.14998024307559873
Fe_6,-0.16077457179591745
Cd_1,0.0014777601324220337
Cd_2,0.004903191625144158
Cd_3,0.006617603302399043
Cd_4,0.009339884826150613
Cd_5,0.0036914540841674
Cd_6,0.009573876043219931
Zn_1,-0.2358301659455722
Zn_2,-0.2527880908361257
Zn_3,-0.24502719071657206
Zn_4,-0.2450003555631547
Zn_5,-0.2283397528360065
Zn_6,-0.2237864451157976
Cu_1,-0.0004609190346294848
Cu_2,-0.0006811500599603299
Cu_3,0.003468065824784628
Cu_4,0.014696679648894496
Cu_5,0.028882063315964542
Cu_6,0.036427383667996534
Pb_1,0.010222833762778938
Pb_2,0.017588360129245983
Pb_3,0.03310947192028905
Pb_4,0.048185193960834434
Pb_5,0.06046895204235254
Pb_6,0.07319875822676324
