,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,ALE__GalactoseA5,0.7607218554999999,0.06304931332321406,2.0,0.0,0.7161392584999999,1.0,0.8053044524999999,,,,
1,ALE__GalactoseA6,0.9329974134999999,0.0843667047003777,2.0,2.0,0.8733411444999999,3.0,0.9926536825,,,,
2,ALE__GalactoseA8,0.36828850649999995,0.3318525125812558,2.0,4.0,0.1336333444999999,5.0,0.6029436685,,,,
3,ALE__IL_Control,-2.7755575615628914e-17,0.3139071743595691,4.0,6.0,0.2256100555,7.0,-0.4648043115,8.0,0.1252207905,9.0,0.1139734654999999
4,ALE__IL_TEOH_OAc,-0.031057844500000056,0.17584528575917652,2.0,10.0,-0.1553992385,11.0,0.0932835494999999,,,,
5,ALE__IL_TEA_HS,-0.0939843375,0.025774566847481303,2.0,12.0,-0.1122097085,13.0,-0.0757589665,,,,
6,ALE__IL_Mixed,0.18067029549999994,0.49491334167770495,2.0,14.0,-0.1692862845,15.0,0.5306268754999999,,,,
7,ALE__IL_PP5350,-0.26396285100000005,0.2065816343252728,2.0,16.0,-0.1178875765,17.0,-0.4100381255000001,,,,
8,ALE__IL_T8,-0.22754600650000004,0.038247958751883165,2.0,18.0,-0.2545913975,19.0,-0.2005006155000001,,,,
9,ALE__IL_T9,0.45437797599999996,0.2199803447493218,2.0,20.0,0.2988283825,21.0,0.6099275694999999,,,,
10,ALE__IL_Control2,0.3804169969999998,0.06726716355369174,2.0,22.0,0.3328519294999998,23.0,0.4279820644999998,,,,
11,ALE__IL_Glc+Ace,0.0940396004999999,0.39350806469863575,2.0,24.0,0.3722918214999999,25.0,-0.1842126205000001,,,,
12,ALE__XyloseA1,0.6386720655,0.19655379880076904,2.0,26.0,0.4996875414999999,27.0,0.7776565895,,,,
13,ALE__XyloseA2,0.8580517575,0.20827672555037544,2.0,28.0,0.7107778725,29.0,1.0053256425,,,,
14,ALE__XyloseA3,1.062036872,0.10566029839882043,2.0,30.0,0.9873237585,31.0,1.1367499855,,,,
15,ALE__XyloseA4,0.7465689665,0.09542446882884412,2.0,32.0,0.8140442555,33.0,0.6790936775,,,,
