locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Fnr,link
BSU_37250,0.2738217543939083,narI,nitrate reductase (gamma subunit),Energy production and conversion,Op2903,"SigA,Fnr",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_37250
BSU_37260,0.25786742969577425,narJ,nitrate reductase molybdenum cofactor assembly chaperone NarJ,Energy production and conversion,Op2903,"SigA,Fnr",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_37260
BSU_37270,0.2522562646104311,narH,nitrate reductase (beta subunit),Energy production and conversion,Op2903,"SigA,Fnr",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_37270
BSU_37280,0.22303807409062185,narG,nitrate reductase (alpha subunit),Energy production and conversion,Op2903,"SigA,Fnr",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_37280
BSU_37290,0.17996120708447091,arfM,transcriptional regulator,Signal transduction mechanisms,Op2904,"SigA,Fnr",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_37290
BSU_37320,0.1694737697018474,narK,nitrite extrusion permease,Inorganic ion transport and metabolism,Op2906,"SigA,Fnr,NsrR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_37320
BSU_37430,0.11707125024079094,albG,putative integral membrane protein involved in subtilosin production and immunity,No COG annotation,Op2909,"Rok,ResD,SigA,AbrB",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_37430
BSU_37360,0.11466375815017454,sboX,putative bacteriocin-like product,No COG annotation,Op2909,"Rok,ResD,SigA,AbrB",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_37360
BSU_37350,0.10364540660440803,sboA,subtilosin A,Function unknown,Op2909,"Rok,ResD,SigA,AbrB",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_37350
BSU_37420,0.08632291945072229,albF,putative peptidase involved in subtilosin production,"Replication, recombination and repair",Op2909,"Rok,ResD,SigA,AbrB",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_37420
