,gutM
Cr_1,0.003217260026515461
Cr_2,0.010876870455720132
Cr_3,0.01609210581093283
Cr_4,0.029631451869381507
Cr_5,0.03706130686731224
Cr_6,0.047488223511059226
Fe_1,-0.023492240225902745
Fe_2,-0.03516570798855172
Fe_3,-0.030424103161316017
Fe_4,-0.027842568498794462
Fe_5,-0.02721395905574821
Fe_6,-0.015635667064685683
Cd_1,-0.0046901995553417465
Cd_2,-0.0007691979250410071
Cd_3,0.014744079968459275
Cd_4,0.030803425411729295
Cd_5,0.039873711981885177
Cd_6,0.054219366843990285
Zn_1,-0.001505478855145144
Zn_2,-0.0013613571669340665
Zn_3,0.009904863013252186
Zn_4,0.04052173990908064
Zn_5,0.05571829628376592
Zn_6,0.06949400378807861
Cu_1,0.0030057826595935714
Cu_2,0.00517712228681231
Cu_3,0.0064999186170103095
Cu_4,0.0013037959607208238
Cu_5,0.00984302769943994
Cu_6,0.016390147649591513
Pb_1,-0.00403514179519395
Pb_2,-0.0025185256102770513
Pb_3,0.0046387870181615175
Pb_4,0.013410873147539902
Pb_5,0.018874999088627897
Pb_6,0.020825662960347026
