,znuC
Cr_1,0.015471923505799352
Cr_2,0.031041326447205607
Cr_3,0.04195323066275864
Cr_4,0.05126193493622895
Cr_5,0.061814023045221475
Cr_6,0.07084939934281702
Fe_1,-0.014718687481888969
Fe_2,-0.034881221308696385
Fe_3,-0.04915157930004088
Fe_4,-0.060649410643211575
Fe_5,-0.06317350261758589
Fe_6,-0.060107251866011416
Cd_1,0.017199944971158142
Cd_2,0.025789830235290682
Cd_3,0.023439703044574392
Cd_4,0.013349408836497887
Cd_5,-0.009708049252357694
Cd_6,-0.02933348547188858
Zn_1,-0.000652706801839004
Zn_2,-0.012009504152198624
Zn_3,-0.04023602696020388
Zn_4,-0.0901748826509028
Zn_5,-0.15661106877781816
Zn_6,-0.2339233626025484
Cu_1,0.009867500138031742
Cu_2,0.022465892088093752
Cu_3,0.03607036559603532
Cu_4,0.04581480378088805
Cu_5,0.0529496993057464
Cu_6,0.060811336118103534
Pb_1,0.02077243605923498
Pb_2,0.019644203266030245
Pb_3,-0.001936642749037166
Pb_4,-0.030037088114038667
Pb_5,-0.05216334039475393
Pb_6,-0.06250947514595835
