,yegW
Cr_1,0.0003457460760288728
Cr_2,-0.002863297602779857
Cr_3,0.003826224040558797
Cr_4,0.01551148893344798
Cr_5,0.014437336796153888
Cr_6,0.0064692708422607785
Fe_1,-0.04421701344107665
Fe_2,-0.08703789996553951
Fe_3,-0.10100811001512593
Fe_4,-0.09514798525302083
Fe_5,-0.07622601566714662
Fe_6,-0.057042469296095626
Cd_1,0.00630965361865116
Cd_2,0.011754746649820841
Cd_3,0.02056268668711288
Cd_4,0.026834312605105583
Cd_5,0.030106346597536318
Cd_6,0.0391446493088982
Zn_1,-0.014113173848913637
Zn_2,0.006127394044938713
Zn_3,0.08644862399864285
Zn_4,0.20901637907479484
Zn_5,0.3395939775385237
Zn_6,0.4684052111879201
Cu_1,0.0005390359168379471
Cu_2,0.002623887714589885
Cu_3,0.005879089579270743
Cu_4,0.006475093269422068
Cu_5,0.010399725040508866
Cu_6,0.01945626760641847
Pb_1,0.004503455741798224
Pb_2,0.006547377742478888
Pb_3,0.01509538159987128
Pb_4,0.031167999277620168
Pb_5,0.04728692388392565
Pb_6,0.058771281600388775
