,-0.06215810438984955,-0.03729486263390973,-0.01243162087796991,0.01243162087796991,0.03729486263390973,0.06215810438984955,0.08702134614578937,0.11188458790172918,0.13674782965766902,0.1616110714136088,0.18647431316954866,0.2113375549254885,0.2362007966814283,0.2610640384373681,0.28592728019330793,0.3107905219492478,0.33565376370518757,0.36051700546112736,0.3853802472170672,0.41024348897300705
thresh,-0.07458972526781946,0.07458972526781946,13,,,,,,,,,,,,,,,,,
unreg,1,23,2097,1701,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fnr,0,8,97,95,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FlhDC,0,0,38,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ModE,0,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NarL,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fnr and FlhDC,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fnr and ModE,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fnr and NarL,2,2,15,32,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
NarP and NarL,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fnr, NarP, and NarL",0,0,8,8,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Fnr, ModE, and NarL",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fnr, NarP, FlhDC, and NarL",0,0,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"Fnr, NarP, FlhDC, ModE, and NarL",0,0,0,0,0,0,1,5,2,3,0,0,1,0,1,2,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Fnr_genes,[],['pdhR' 'ynfK' 'iraD' 'ndh' 'cyoB' 'fes' 'ydfO' 'nac'],"['ygbA' 'sdhB' 'arcA' 'soxR' 'hyfA' 'fepE' 'ycaC' 'bcsZ' 'yeiL' 'feoA'
 'ompX' 'sucA' 'sucC' 'malP' 'gadW' 'nrdD' 'gnd' 'aldA' 'ybdZ' 'scpA'
 'sdhA' 'garR' 'sucD' 'ravA' 'glpT' 'thrA' 'hyfC' 'ybdN' 'pepT' 'dppF'
 'rpsJ' 'fixX' 'hypC' 'sucB' 'tpx' 'soxS' 'hyfR' 'garK' 'caiD' 'gltD'
 'gdhA' 'ychO' 'dppA' 'hypB' 'puuP' 'rpsQ' 'acrF' 'gltF' 'glnK' 'hyfI'
 'cadC' 'rplM' 'tdcF' 'gapC' 'ansB' 'pdeF' 'xdhC' 'rpsI' 'gcvP' 'glnD'
 'feoB' 'puuA' 'garP' 'ysgA' 'viaA' 'rplV' 'gltB' 'dppD' 'hyfE' 'dcuC'
 'fixB' 'ssuD' 'iraM' 'rplC' 'tar' 'rpsS' 'hyfF' 'sdhD' 'focB' 'bcsB'
 'gcvT' 'fumA' 'ung' 'rplW' 'garD' 'dppB' 'rplS' 'ssuE' 'dppC' 'rplB'
 'aceE' 'acrE' 'yfcZ' 'amtB' 'tdcE' 'hemA' 'hyfJ']","['nrdG' 'scpC' 'rpmC' 'hyfG' 'upp' 'pstB' 'aspC' 'rplD' 'cheY' 'cyoC'
 'caiT' 'malQ' 'emrK' 'rpsC' 'gadA' 'gadX' 'ssuC' 'zwf' 'caiA' 'rimM'
 'xdhB' 'nfeR' 'rplT' 'acnA' 'phoU' 'grcA' 'mltA' 'caiC' 'hyfB' 'gcvH'
 'tdcA' 'entF' 'ssuB' 'emrY' 'tdcG' 'pitA' 'rplP' 'fnr' 'hyfD' 'ortT'
 'glpQ' 'cheR' 'rpsP' 'feoC' 'xdhA' 'tap' 'fumC' 'aceF' 'yibN' 'cheZ'
 'purM' 'ydeJ' 'hyfH' 'ymjE' 'garL' 'cydA' 'cyoD' 'scpB' 'caiB' 'purN'
 'sdhC' 'trmD' 'ccp' 'cheB' 'fhlA' 'hmp' 'pstC' 'ackA' 'pykA' 'yffS'
 'msrB' 'pstS' 'ssuA' 'tdcC' 'aroP' 'hypD' 'lpd' 'uxaA' 'fixA' 'prfA'
 'prmC' 'uxaC' 'hlyE' 'aer' 'tdcD' 'cyoE' 'tdcB' 'pstA' 'fixC' 'argK'
 'uraA' 'cyoA' 'sodA' 'caiE' 'ydfZ']",['cydB' 'hypE' 'katG'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
FlhDC_genes,[],[],"['fliN' 'pdeH' 'hydN' 'fliF' 'flgL' 'mglA' 'flgI' 'gltL' 'mglC' 'flgJ'
 'hypF' 'fliK' 'ppdC' 'gltJ' 'tcyJ' 'fliM' 'gltK' 'flgK' 'fliZ' 'fliP'
 'fliL' 'gltI' 'flgC' 'flgE' 'fliE' 'flhE' 'fliO' 'fliS' 'fliQ' 'mglB'
 'flhA' 'flgF' 'recC' 'mdh' 'fliJ' 'ppdB' 'flgD' 'fliD']","['ygdB' 'flgH' 'fliT' 'flgG' 'fliH' 'flgM' 'fliG' 'ygbK' 'ppdA' 'fliA'
 'ycgR' 'flhB' 'flgN' 'fliR' 'flgA' 'fliI' 'flgB']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
ModE_genes,[],[],"['hycA' 'hycB' 'oppF' 'deoC' 'hycC' 'oppA' 'deoA' 'modB' 'hycF' 'modC'
 'hycD' 'modA']",['deoB' 'oppD' 'hycI' 'hycE' 'deoD' 'oppB' 'oppC' 'hycG' 'hycH'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
NarL_genes,[],[],['torD' 'ogt' 'hybO' 'hybA' 'torC'],['torA' 'hybG' 'hybD' 'hybE' 'hybF' 'hybC' 'hybB'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Fnr and FlhDC_genes,[],[],[],['glpC' 'glpB' 'glpA' 'yecR'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Fnr and ModE_genes,[],[],['moaA' 'moaB' 'moaD'],['moaC' 'narX' 'moaE' 'narL'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Fnr and NarL_genes,['nikA' 'dcuB'],['fumB' 'ynfE'],"['nikB' 'focA' 'adhE' 'dmsD' 'ynfH' 'frdA' 'ubiA' 'aspA' 'nuoB' 'dcuR'
 'frdB' 'ynfF' 'cydD' 'dpiB' 'dcuS']","['nuoA' 'dcuA' 'nuoE' 'citE' 'moeA' 'frdC' 'dpiA' 'moeB' 'nuoF' 'nuoH'
 'nuoG' 'ynfG' 'nikC' 'nuoC' 'cydC' 'citC' 'nuoL' 'nuoI' 'citG' 'nuoM'
 'frdD' 'narG' 'nuoJ' 'nuoK' 'citX' 'nikR' 'citF' 'nuoN' 'caiF' 'narK'
 'pflB' 'nikD']",['nikE' 'ompW' 'ubiC'],[],[],['narH' 'narI' 'narJ'],[],[],[],[],[],[],[],[],[],[],[],[]
NarP and NarL_genes,[],[],['hyaE' 'yoaG' 'ydeP' 'hyaA' 'hyaB'],['hyaF' 'yeaR' 'hyaC' 'hyaD'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
"Fnr, NarP, and NarL_genes",[],[],['fdnG' 'ydhW' 'ydhV' 'ydhX' 'ydhY' 'ydhT' 'norW' 'ydhU'],['ytfE' 'norV' 'fdnH' 'poxB' 'hcp' 'hcr' 'fdnI' 'fdhF'],[],['cysG' 'nirB'],[],['nirD'],[],['nirC'],[],[],[],[],[],[],[],[],[],[]
"Fnr, ModE, and NarL_genes",[],[],[],['dmsA'],['dmsB'],['dmsC'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
"Fnr, NarP, FlhDC, and NarL_genes",[],[],[],['nrfF'],['nrfG' 'nrfE'],[],['nrfA' 'nrfC' 'nrfB'],['nrfD'],[],[],[],[],[],[],[],[],[],[],[],[]
"Fnr, NarP, FlhDC, ModE, and NarL_genes",[],[],[],[],[],[],['ccmH'],['ccmG' 'ccmB' 'ccmF' 'ccmC' 'ccmD'],['ccmE' 'ccmA'],['napF' 'napD' 'napC'],[],[],['napA'],[],['napG'],['napH' 'napB'],[],[],[],[]
