,A,Fnr,NarP,NarL,ModE,flhD
R2,,0.26497405784235706,0.2460964206411863,0.029562032860102727,0.028287542283888745,0.017487074162317096
xmin,,-9.786193262000001,-2.3294870029999992,-3.3278448574369563,-2.0703322897647167,-5.415813057
xmid,,-1.8717759166880998,-0.600656121664074,-0.007144232195962468,-0.3170568178030273,1.9510181239321631
xmax,,2.044364117999999,3.3566115678723563,1.2829432884999994,0.9330008310000012,4.760193415353867
ystart,,8.44842871294041,0.6400252387517247,3.015571116116746,2.826455370485059,3.5717712781082387
yend,,-8.208015254410158,13.91248314848389,8.061948781686347,7.438433362555416,-1.1125447803141562
control__wt_glc__1,-0.0023063445185182,-0.0526320000000009,0.013805372000000204,0.0046058085000000295,-0.08443098800000026,-0.12659477299999988
control__wt_glc__2,0.0023063445184742,0.05263199999999912,-0.013805371999999316,-0.0046058085000000295,0.08443098800000115,0.12659477299999988
fur__wt_dpd__1,-0.175081535669738,-0.2233275490000004,-0.6764180889999993,0.7958407655000004,0.20473306800000124,-1.7674656090000005
fur__wt_dpd__2,0.1870831296340764,-0.20726320800000053,-0.8038825889999996,0.7809120795000002,0.37840711700000096,-1.880887454
fur__wt_fe__1,4.443290084988367,-0.559124369000001,-0.05291579899999999,0.08602043750000021,-0.29148096799999834,-0.3019890670000001
fur__wt_fe__2,4.32971072725168,-0.5180337210000019,-0.14241751799999935,0.1956717155000005,-0.2607217699999982,-0.2768906470000001
fur__delfur_dpd__1,-0.4882198684014261,-0.35869387400000186,-0.833438136999999,0.6368233544999997,0.0674656570000014,-2.018074196
fur__delfur_dpd__2,-0.6026650224517529,-0.3499676950000019,-0.9859630329999992,0.6053562415,0.08649283300000121,-1.910472906
fur__delfur_fe2__1,-0.1656753570065044,-0.2728296990000008,-0.472726054999999,0.2292959385,-0.06595967399999836,0.13425278300000001
fur__delfur_fe2__2,-0.2247990538457151,-0.2654058500000005,-0.4264569919999994,0.31020635650000017,0.01086965000000184,0.12133000499999992
acid__wt_ph5__1,2.782716628310608,-0.5248469310000008,0.2445666950000005,0.7226422634999999,-0.11608423799999912,-0.7547466570000001
acid__wt_ph5__2,3.086965213012433,-0.5394919760000008,0.22695780200000026,0.6039874684999997,0.06044007200000135,-0.7751480549999998
acid__delgadx_ph5__2,3.53658654725623,-0.4808098230000013,0.14736857200000042,0.7064404204999999,-0.28316338999999857,-0.668438976
acid__delgadw_ph5__1,3.3603587970497,-0.5694477410000012,0.4227118990000012,0.6671839154999999,-0.07260715599999834,-1.0576382030000009
acid__delgadw_ph5__2,3.360126731730277,-0.5457824470000006,0.05747584900000114,0.6889960855000004,-0.01767099099999836,-0.7929399760000004
