,-0.10914026354099593,-0.08929657926081486,-0.06945289498063378,-0.04960921070045271,-0.029765526420271637,-0.009921842140090564,0.009921842140090509,0.029765526420271582,0.049609210700452655,0.06945289498063373,0.0892965792608148,0.10914026354099587,0.12898394782117695,0.14882763210135802,0.1686713163815391,0.18851500066172017,0.20835868494190124,0.2282023692220823,0.24804605350226339,0.26788973778244446
thresh,-0.11906210568108647,0.11906210568108647,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,10,162,2673,2572,138,6,1,1,0,0,2,1,2,1,3,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],['PA2747' 'PA3371'],['PA2166'],['PA3369' 'PA4739'],['PA4738'],['PA3370' 'PA5482' 'PA5481'],[],[]
