,yccR
Cr_1,0.0027131251748744468
Cr_2,0.011889800508468764
Cr_3,0.02722427595404722
Cr_4,0.039176046020676335
Cr_5,0.055703229884416935
Cr_6,0.06794011387793221
Fe_1,-0.016818795073157027
Fe_2,-0.04688915200262731
Fe_3,-0.08901008364759883
Fe_4,-0.15489488627313094
Fe_5,-0.20860021448249366
Fe_6,-0.2377826851638299
Cd_1,-0.00014955701146278388
Cd_2,0.0019524384965211546
Cd_3,0.0012601166078708274
Cd_4,3.4362937608004705e-05
Cd_5,-0.008442216885311934
Cd_6,-0.012861838954018372
Zn_1,-0.04853694302712535
Zn_2,-0.08335153376055908
Zn_3,-0.12660034837950135
Zn_4,-0.14661627330717114
Zn_5,-0.1597583375273232
Zn_6,-0.17223750071026206
Cu_1,0.005792956428886975
Cu_2,0.011000560399593488
Cu_3,0.016951303123411456
Cu_4,0.022780611895752614
Cu_5,0.035219924176020434
Cu_6,0.04889562289588497
Pb_1,0.004103413818295358
Pb_2,0.007552625728549444
Pb_3,0.017491487884191755
Pb_4,0.030412303683247682
Pb_5,0.036643119739405206
Pb_6,0.03604797108686224
