,iap
Cr_1,-0.0010336456517580704
Cr_2,-0.0013932667875226322
Cr_3,0.0038507921565169054
Cr_4,0.010081887959072909
Cr_5,0.01673981813827554
Cr_6,0.01928538464322196
Fe_1,0.00419312967214146
Fe_2,0.0006162421447326403
Fe_3,-0.008632059452473344
Fe_4,-0.02579390599144985
Fe_5,-0.04601113206076734
Fe_6,-0.06234522117782736
Cd_1,-0.002169041231163991
Cd_2,-0.002987982896442248
Cd_3,-0.0041914877719045115
Cd_4,-0.002627550037847825
Cd_5,-0.00497762048619007
Cd_6,-0.0012066519201504474
Zn_1,-0.00037608938992334017
Zn_2,-0.0010059023918657112
Zn_3,-0.0027370327814679983
Zn_4,-0.00784311598189401
Zn_5,-0.012258475484732252
Zn_6,-0.015481213087005143
Cu_1,0.005045210235577171
Cu_2,0.012152341024284358
Cu_3,0.019448666837452028
Cu_4,0.02494207987375876
Cu_5,0.0290960435733128
Cu_6,0.03231390824486555
Pb_1,0.0035804845286652805
Pb_2,0.01016254527259067
Pb_3,0.014991070538991718
Pb_4,0.0232146162521928
Pb_5,0.0313431967094093
Pb_6,0.04187848552230895
