,sohA
Cr_1,0.0002942685620871523
Cr_2,-1.761895973109955e-05
Cr_3,0.0002878060684084937
Cr_4,0.000429393015698993
Cr_5,-0.0014411346436446115
Cr_6,-0.010070763691956518
Fe_1,-0.0039035825543738936
Fe_2,-0.025490995764499067
Fe_3,-0.06384598495100667
Fe_4,-0.11519359192732705
Fe_5,-0.15520280996803246
Fe_6,-0.18368884687053846
Cd_1,0.002878326089592753
Cd_2,0.00597600984019518
Cd_3,0.009707393022653136
Cd_4,0.013491063561676456
Cd_5,0.012829800260494224
Cd_6,0.015871672715378184
Zn_1,-0.003408468874062469
Zn_2,-0.012571328546706985
Zn_3,-0.017377300370339622
Zn_4,-0.013238653101391402
Zn_5,0.00187485393055416
Zn_6,0.02027806291507185
Cu_1,0.011724089190086995
Cu_2,0.02319478299364524
Cu_3,0.03833566105641787
Cu_4,0.053337314766181435
Cu_5,0.06854201879228725
Cu_6,0.08637888909856199
Pb_1,0.005220497682427324
Pb_2,0.01335723358986289
Pb_3,0.02185513316044067
Pb_4,0.03497662825830778
Pb_5,0.04902533748814535
Pb_6,0.06685404579953114
