,yphG
Cr_1,-0.0009087586381595671
Cr_2,-0.00992697862254422
Cr_3,-0.010474968877527023
Cr_4,-0.01649839455228402
Cr_5,-0.013904685346617509
Cr_6,-0.02172549110509657
Fe_1,-0.00943472502603066
Fe_2,-0.028530806696389376
Fe_3,-0.03835495800387837
Fe_4,-0.04288863623880828
Fe_5,-0.041389405253853706
Fe_6,-0.037595639451056886
Cd_1,0.0009640533595912412
Cd_2,-3.1052022768981924e-05
Cd_3,0.005994200120841686
Cd_4,0.003873766451777712
Cd_5,-0.0035022768660781197
Cd_6,0.0023463057109179767
Zn_1,-0.004752167285707095
Zn_2,-0.00998466926616432
Zn_3,0.0011934375564388376
Zn_4,0.011157841439823159
Zn_5,0.022807746123484397
Zn_6,0.028237610987320087
Cu_1,0.00497859986267031
Cu_2,0.006393884352507692
Cu_3,0.0041188501226294355
Cu_4,-0.001246340972280493
Cu_5,-0.000918056155299146
Cu_6,0.002736276485734013
Pb_1,0.0024980915398742365
Pb_2,0.0046876300489598075
Pb_3,0.0067781781912962785
Pb_4,0.011203231916575192
Pb_5,0.017217739747434582
Pb_6,0.021150122027211955
