locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,MdcR,link
PA0211,0.25954435600000003,mdcD,,malonate decarboxylase subunit beta,Lipid transport and metabolism,MdcR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0211&e1=1&assembly=complete
PA0212,0.258269914,mdcE,,malonate decarboxylase subunit gamma,Lipid transport and metabolism,MdcR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0212&e1=1&assembly=complete
PA0209,0.23485386200000002,PA0209,,2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase,Coenzyme transport and metabolism,MdcR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0209&e1=1&assembly=complete
PA0210,0.208118998,mdcC,,malonate decarboxylase acyl carrier protein,Energy production and conversion,MdcR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0210&e1=1&assembly=complete
PA0213,0.19643895700000003,PA0213,,phosphoribosyl-dephospho-CoA transferase,Coenzyme transport and metabolism,MdcR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0213&e1=1&assembly=complete
PA0208,0.192288168,mdcA,,malonate decarboxylase subunit alpha,Lipid transport and metabolism,MdcR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0208&e1=1&assembly=complete
PA0214,0.146268899,PA0214,,acyl transferase,Lipid transport and metabolism,MdcR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0214&e1=1&assembly=complete
PA0215,0.11154591900000001,PA0215,,malonate transporter MadL,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0215&e1=1&assembly=complete
PA0216,0.1070937,PA0216,,malonate transporter MadM,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0216&e1=1&assembly=complete
