,ygiL
Cr_1,-0.0006607174451039949
Cr_2,0.002839155877835041
Cr_3,0.005787345455421984
Cr_4,0.006864761439881922
Cr_5,0.007276489756245584
Cr_6,0.006950546175317046
Fe_1,-0.014262103454716934
Fe_2,-0.03252981275204013
Fe_3,-0.0445183986568214
Fe_4,-0.05320181014780183
Fe_5,-0.054106883604894775
Fe_6,-0.04820392828081525
Cd_1,-0.0007686343755778107
Cd_2,0.0016953986194558402
Cd_3,0.005383880884532633
Cd_4,0.007085089372702469
Cd_5,-0.000537708751632369
Cd_6,0.00602215158419502
Zn_1,-0.0065455179765555645
Zn_2,-0.004373955076305991
Zn_3,0.006956673617159233
Zn_4,0.019322331073382347
Zn_5,0.02175817595243076
Zn_6,0.02632463368161469
Cu_1,0.0019460234460779336
Cu_2,-0.0027727575778986203
Cu_3,0.003825745816490871
Cu_4,0.0047673875420532145
Cu_5,0.002905056649603809
Cu_6,0.004784735886323369
Pb_1,0.005968594426371232
Pb_2,0.01130609350096788
Pb_3,0.014070534227648713
Pb_4,0.01772592155526725
Pb_5,0.01753201224983918
Pb_6,0.01824339489299971
