locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,operon,regulator,link
SACI_RS10345,0.3549880017465491,Saci_2139,Saci_2139,hypothetical protein,Function Unknown,Op1282,XylR,https://www.uniprot.org/uniprot/A0A0U3FQV9
SACI_RS04215,0.2406281253799552,amt,Saci_0883,"Ammonia permease, ammonium transporter",Inorganic ion transport and metabolism,Op465,XylR,https://www.uniprot.org/uniprot/UPI0002B27354
SACI_RS07075,0.21523569552983526,glnA,Saci_1483,type I glutamate--ammonia ligase,Amino acid transport and metabolism,Op816,LrpC,https://www.uniprot.org/uniprot/A0A0U2WW46
