,A,Mlc,DhaR
R2,,0.27907550181342267,0.0
xmin,,4.8452294241,3.6930158912
xmid,,6.894998284783204,
xmax,,8.0463196781,6.0095241707
ystart,,-1.919512391086883,-1.3847937972007196
yend,,10.743129826112636,-1.3847937972007196
control__wt_glc__1,0.3014801501,5.9984606776,4.5914544807
control__wt_glc__2,-0.3014801501,6.2604804342,4.5512073036
fur__wt_dpd__1,-3.6542589013,5.5570260849,4.5881930265
fur__wt_dpd__2,-4.2641366838,5.4542533384,4.4740754915
fur__wt_fe__1,-0.2981422541,5.8344908817,4.3961436055
fur__wt_fe__2,0.1088469423,5.884485261,4.3001022255
fur__delfur_dpd__1,-2.7195811756,5.3697694848,4.4678161923
fur__delfur_dpd__2,-2.5984225594,5.3970154653,4.644183875
fur__delfur_fe2__1,-0.673255881,5.9449654935,4.7287281922
fur__delfur_fe2__2,-0.5566092511,5.9001386419,4.7511699552
acid__wt_ph5__1,-1.7891781743,5.8949974841,4.8779072465
acid__wt_ph5__2,-2.2604880576,6.1126055143,4.8090730415
acid__delgadx_ph5__1,-2.0235828239,5.7082955448,4.6211033018
acid__delgadx_ph5__2,-1.9779434383,5.7549658797,4.6881618081
acid__delgadw_ph5__1,-1.5871509047,6.0022365646,4.7753826806
acid__delgadw_ph5__2,-1.5718487522,5.8924109243,4.7629078146
acid__delgade_ph5__1,-2.1325987929,6.1937015886,4.9398661151
acid__delgade_ph5__2,-2.2103412916,6.09995253,4.8415684777
oxidative__wt_pq__1,-1.4260471599,6.5354137629,4.8943124587
oxidative__wt_pq__2,-1.354265977,6.1694739715,4.9639887434
oxidative__deloxyr_pq__1,-0.8139676885,6.6010322553,5.0239810726
oxidative__deloxyr_pq__2,-1.3828205145,6.5134341033,4.9524761026
oxidative__delsoxr_pq__1,-1.099521792,6.4083619369,4.6292642136
oxidative__delsoxr_pq__2,-0.8349546623,6.3866121867,4.490417945
oxidative__delsoxs_pq__1,-1.2754868752,6.4372916977,4.9597350811
oxidative__delsoxs_pq__2,-1.5647069296,6.5248845748,4.7435112164
nac_ntrc__wt_csn__1,-2.6685856562,6.0048627923,4.8362687239
nac_ntrc__wt_csn__2,-2.4486578659,5.8756750147000005,4.6932714078
nac_ntrc__wt_cytd__1,-2.0896998801,5.8403274336,4.7572374308
