,leuA
Cr_1,-0.02574628722306037
Cr_2,-0.04308244221074868
Cr_3,-0.026058439716738345
Cr_4,-0.005845777083857244
Cr_5,0.02054109718165024
Cr_6,0.03259191295015615
Fe_1,-0.018830678316286143
Fe_2,0.02448182542859336
Fe_3,0.07167423310772328
Fe_4,0.12882597970006687
Fe_5,0.0976587369114064
Fe_6,0.11634871902595972
Cd_1,-0.006173442852931896
Cd_2,-0.01450665793077145
Cd_3,-0.0006998742211805268
Cd_4,0.024105542993024462
Cd_5,0.03497258343101268
Cd_6,0.05575493464003988
Zn_1,0.0020028803749902627
Zn_2,0.01395917699394259
Zn_3,0.020689434541172568
Zn_4,0.046780112051950457
Zn_5,0.019318064868319832
Zn_6,0.007510823052711387
Cu_1,0.005678946632238186
Cu_2,0.00882167568545173
Cu_3,0.016328923330472842
Cu_4,0.02091124401421931
Cu_5,0.02497362356415656
Cu_6,0.027961639651148267
Pb_1,0.013225118601694891
Pb_2,0.008160941972265775
Pb_3,0.02668606960832731
Pb_4,0.03791206181113537
Pb_5,0.04115692874817654
Pb_6,0.04878166792704333
