,pinE
Cr_1,-0.007092667207299219
Cr_2,-0.0115165610613667
Cr_3,-0.01249610130142583
Cr_4,-0.013973007343945609
Cr_5,-0.010697076026878524
Cr_6,-0.008004799816348149
Fe_1,-0.005738910147562384
Fe_2,-0.018678373664281052
Fe_3,-0.026856961677462432
Fe_4,-0.03488768040094134
Fe_5,-0.0350279579807566
Fe_6,-0.027670356166303055
Cd_1,0.0040628064289305365
Cd_2,0.009517475773002259
Cd_3,0.01532265802316366
Cd_4,0.020097938414262592
Cd_5,0.021189145971475448
Cd_6,0.026883934636511675
Zn_1,0.007981935757900077
Zn_2,0.021595584307746867
Zn_3,0.03615036740792639
Zn_4,0.049724922182776
Zn_5,0.06529097433596118
Zn_6,0.07760531579459531
Cu_1,-0.004648152016258217
Cu_2,-0.005976201185155514
Cu_3,-0.00764653662181743
Cu_4,-0.009399806074464284
Cu_5,-0.006344329323180295
Cu_6,-0.002729070896506413
Pb_1,0.0012033394507347886
Pb_2,0.003725149612363831
Pb_3,0.009797649636779196
Pb_4,0.013435630142899278
Pb_5,0.019926150749957232
Pb_6,0.030334744408752414
