,rrfB
Cr_1,0.025881949335261684
Cr_2,0.059316994600909334
Cr_3,0.09337284196293943
Cr_4,0.09040429162267397
Cr_5,0.09095251282433857
Cr_6,0.10034621355292662
Fe_1,-0.02135317306548406
Fe_2,-0.042015659584248535
Fe_3,-0.051745350693155716
Fe_4,-0.06001376263903532
Fe_5,-0.06255781470092764
Fe_6,-0.0655337274240471
Cd_1,0.008403904747701328
Cd_2,0.004790166697463478
Cd_3,0.016341390916280733
Cd_4,0.01930275949031124
Cd_5,0.02836886638831365
Cd_6,0.036731039511543516
Zn_1,-0.046214447096767
Zn_2,-0.049764951391042714
Zn_3,-0.0622783647529059
Zn_4,-0.057835457201116734
Zn_5,-0.0612426023310138
Zn_6,-0.05645687595190752
Cu_1,0.007028898271480196
Cu_2,0.02607066978133337
Cu_3,0.030270524604016413
Cu_4,0.03676427257699294
Cu_5,0.04601404855719875
Cu_6,0.04708514707514943
Pb_1,0.005790607588897389
Pb_2,0.009614506859797716
Pb_3,0.010703044543445105
Pb_4,0.024275993150192604
Pb_5,0.02443728060541626
Pb_6,0.02342603401166157
