,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
0,AB0057_PGcoculture__PGAB,-23.810492312266664,0.58673763766491,3.0,0.0,-24.3012844334,1.0,-23.9695753931,2.0,-23.1606171103,,
1,AB0057_PGcoculture__AB ,0.0,0.6506893732255077,4.0,3.0,-0.1187884763,4.0,-0.1152852058,5.0,-0.6625121812,6.0,0.8965858633
2,AB0057_PGcoculture__ABPG,17.679594076525,5.535655944145597,4.0,7.0,20.5724490996,8.0,20.8104431945,9.0,9.3943594093,10.0,19.9411246027
3,AB5075_AZI__AZI_000,0.0,0.07894006461984973,2.0,11.0,0.055819055000000006,17.0,-0.055819055000000006,,,,
4,AB5075_AZI__preculture,0.6210788535,0.03250253202413673,2.0,12.0,0.6440616143,13.0,0.5980960927,,,,
5,AB5075_AZI__AZI_040,-1.7922987571000002,0.5803049282195267,2.0,14.0,-1.3819612072,18.0,-2.202636307,,,,
6,AB5075_AZI__AZI_028,1.37165691015,0.003885795785170222,2.0,15.0,1.3744045827,19.0,1.3689092376,,,,
7,AB5075_AZI__AZI_003,0.26795062575,0.07065158725556064,2.0,16.0,0.2179924093,20.0,0.3179088422,,,,
8,AB5075_VIR-O_AV-T__AV-T/vector,-0.18570521790000005,1.268409237491632,3.0,21.0,-1.1372865481,28.0,-0.6741405236,29.0,1.254311418,,
9,AB5075_VIR-O_AV-T__VIR-O/vector,3.700743415417188e-17,0.6159595039191158,3.0,22.0,-0.5113315653,23.0,-0.1724827117,24.0,0.6838142770000001,,
10,AB5075_VIR-O_AV-T__VIR-O/1645,-1.280110095666667,1.3998458461292458,3.0,25.0,-2.5391034338000003,26.0,-1.5285486314,27.0,0.22732177820000002,,
11,AB5075_VIR-O_LSO__VIR-O,0.0,1.802584872878141,3.0,30.0,-0.31957536670000003,32.0,1.9409996058,34.0,-1.6214242391,,
12,AB5075_VIR-O_LSO__LSO,-0.3858142005333334,0.01657817808601508,3.0,31.0,-0.38190435710000004,33.0,-0.3715404183,35.0,-0.4039978262,,
13,AB5075_Zinc__Control,0.0,1.3463112412126592,3.0,36.0,0.2349540148,37.0,-1.4483231354,38.0,1.2133691206,,
14,AB5075_Zinc__Zinc,-0.581936117,0.1348830030168214,2.0,39.0,-0.48655943090000003,40.0,-0.6773128031,,,,
15,AB5075_biofilm+abx__planktonic,7.401486830834377e-17,2.4129069186607484,3.0,41.0,2.7195298326,42.0,-0.8351336979,44.0,-1.8843961347,,
16,AB5075_biofilm+abx__biofilm,-2.7524811909999998,1.1255000409511993,3.0,43.0,-3.8888452863,45.0,-1.638169283,46.0,-2.7304290037000003,,
17,AB5075_biofilm+abx__cip_biofilm,-7.434409470966666,0.8748987510009026,3.0,47.0,-6.9590613157,48.0,-6.9000855415,50.0,-8.4440815557,,
18,AB5075_biofilm+abx__tet_biofilm,-7.695444649466666,1.503878125866888,3.0,49.0,-8.5517451419,51.0,-8.5756183377,52.0,-5.9589704688000005,,
19,AB5075_gigAB__kan_gigB,9.230836816633333,1.3139586443063636,3.0,53.0,9.4078836946,54.0,7.837331339,55.0,10.4472954163,,
20,AB5075_gigAB__gigB,9.016159221299999,0.22556896129598503,3.0,56.0,9.1017817589,57.0,8.7603152271,58.0,9.1863806779,,
21,AB5075_gigAB__kan_gigA,8.489553739133333,1.3670688382159402,3.0,59.0,9.8163274641,60.0,7.0854707038,61.0,8.5668630495,,
22,AB5075_gigAB__gigA,7.810852776666667,0.3202550985719258,3.0,62.0,7.5647690365999996,63.0,8.172945735,64.0,7.6948435584,,
23,AB5075_gigAB__kan_WT,-0.9377676663666668,0.3466766273509847,3.0,65.0,-1.2135914579,66.0,-0.5486076642000001,67.0,-1.051103877,,
24,AB5075_gigAB__WT,0.0,0.9552478806738606,3.0,68.0,0.8795596339,69.0,0.1366572146,70.0,-1.0162168485,,
25,AB5075_med__CA-MHB,2.77881220985,0.755239127609373,2.0,71.0,2.2447775013,72.0,3.3128469184,,,,
26,AB5075_med__CA-MHB_pH6,2.0241362820999997,3.7304002788287542,2.0,73.0,-0.6136550516,74.0,4.6619276158,,,,
27,AB5075_med__RPMI+_pH7,2.5351107762,1.4321441136523863,2.0,75.0,3.5477895906,76.0,1.5224319618000002,,,,
28,AB5075_med__RPMI+_pH6,1.5968949923999998,0.6685332716039768,2.0,77.0,2.0696194022,78.0,1.1241705826,,,,
29,AB5075_med__RPMI+_-HCO3,1.21026410945,0.5302858963122804,2.0,79.0,1.5852328626999999,80.0,0.8352953562000001,,,,
30,AB5075_med__LB,0.0,0.7340676742330117,2.0,81.0,0.5190642303,82.0,-0.5190642303,,,,
31,AB5075_med__M9+AA,1.1099193196,0.13165066108373358,2.0,83.0,1.0168282444,84.0,1.2030103948,,,,
32,AB5075_med__M9-AA,2.48576115445,0.6787938446079941,2.0,85.0,2.0057814239,86.0,2.965740885,,,,
33,AYE_adeB__WT,9.25185853854297e-18,0.4796507676024392,3.0,87.0,-0.5516769691,88.0,0.3183149508,89.0,0.2333620183,,
34,AYE_adeB__adeB,1.6224342386666668,0.4118110847105585,3.0,90.0,1.1584878839,91.0,1.944705281,92.0,1.7641095511,,
35,COL__0ug/ml,0.0,1.199529307831982,2.0,93.0,-0.8481953078000001,94.0,0.8481953078000001,,,,
36,COL__0.25ug/ml,-0.25750264275,2.0664805637955026,2.0,95.0,-1.7187250626,96.0,1.2037197770999999,,,,
37,COL__1ug/ml,1.32242613775,0.9140023650536808,2.0,97.0,0.6761288674,98.0,1.9687234081,,,,
38,H2O2__0ug/ml,0.0,0.6930696253225572,2.0,99.0,0.4900742319,100.0,-0.4900742319,,,,
39,H2O2__1.25ug/ml,0.056816572699999957,1.8391770933347986,2.0,101.0,1.3573111672,102.0,-1.2436780218,,,,
40,H2O2__2.5ug/ml,4.4415429695,1.7228580264153983,2.0,103.0,5.659787563,104.0,3.223298376,,,,
41,H2O2__5ug/ml,9.87046796905,0.12367134381494417,2.0,105.0,9.7830191232,106.0,9.9579168149,,,,
42,MRP__0ug/ml,0.0,1.0258511219235926,2.0,107.0,0.7253862848,108.0,-0.7253862848,,,,
43,MRP__25ug/ml,0.7523516656,0.6098978777665336,2.0,109.0,1.1836145908,110.0,0.3210887404,,,,
44,MRP__100ug/ml,1.11852892815,0.6050553410505738,2.0,111.0,1.5463676628,112.0,0.6906901935,,,,
45,MRP__200ug/ml,1.1938720407,0.6373825246644013,2.0,113.0,1.6445695461,114.0,0.7431745353,,,,
46,growth__2h,0.0,0.8898778161116171,2.0,115.0,0.6292386382,116.0,-0.6292386382,,,,
47,growth__4h,2.47362134875,1.323416003704142,2.0,117.0,3.4094177793,118.0,1.5378249182000001,,,,
48,growth__6h,4.15297084775,1.0841616730977894,2.0,119.0,4.9195889187,120.0,3.3863527768,,,,
49,growth__8h,5.1982586555,0.16667743435048044,2.0,121.0,5.3161173996,122.0,5.0803999114,,,,
50,growth__10h,2.3359018525,1.028599174907527,2.0,123.0,1.6085724008,124.0,3.0632313042,,,,
51,mutants__WT,0.0,0.15574622663807536,2.0,125.0,0.110129213,126.0,-0.110129213,,,,
52,mutants__R7,0.31136629120000003,0.8189148804772012,2.0,127.0,0.8904265564,128.0,-0.267693974,,,,
53,mutants__gacA,-4.78228696375,0.03825877571786869,2.0,129.0,-4.8093400035,130.0,-4.755233924,,,,
54,vacJ_LL-37__WT,0.0,0.9411444261406848,2.0,131.0,-0.6654896058,132.0,0.6654896058,,,,
55,vacJ_LL-37__WT+LL-37,0.3276811783,0.19383845558658264,2.0,133.0,0.1906166919,134.0,0.4647456647,,,,
56,vacJ_LL-37__vacJ,-0.27504474985000005,0.09407290400804537,2.0,135.0,-0.2085251615,136.0,-0.34156433820000004,,,,
57,vacJ_LL-37__vacJ+LL-37,1.13266306505,0.6149296293274925,2.0,137.0,1.5674839759,138.0,0.6978421542000001,,,,
