locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,HexR,link
PA3183,0.26144546900000004,zwf,,glucose-6-phosphate 1-dehydrogenase,Carbohydrate transport and metabolism,HexR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3183&e1=1&assembly=complete
PA3182,0.259777586,pgl,,6-phosphogluconolactonase,Carbohydrate transport and metabolism,HexR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3182&e1=1&assembly=complete
PA3181,0.224653511,PA3181,,2-dehydro-3-deoxy-phosphogluconate aldolase,Carbohydrate transport and metabolism,HexR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3181&e1=1&assembly=complete
PA3195,0.21692075700000002,gapA,,glyceraldehyde 3-phosphate dehydrogenase,Carbohydrate transport and metabolism,HexR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3195&e1=1&assembly=complete
PA3194,0.205213587,edd,,phosphogluconate dehydratase,Amino acid transport and metabolism,HexR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3194&e1=1&assembly=complete
PA3192,0.14462370100000002,gltR,,two-component response regulator GltR,Signal transduction mechanisms,HexR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3192&e1=1&assembly=complete
PA3193,0.11911157800000001,glk,,glucokinase,Carbohydrate transport and metabolism,HexR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3193&e1=1&assembly=complete
PA3191,0.11546848,PA3191,,two-component sensor,Signal transduction mechanisms,"HexR,GltR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3191&e1=1&assembly=complete
