,nmpC
Cr_1,0.026353379762894587
Cr_2,0.06318159035121762
Cr_3,0.10672968073912112
Cr_4,0.1530786805415663
Cr_5,0.2022183978497535
Cr_6,0.2429609601275704
Fe_1,-0.003513387860433718
Fe_2,-0.018029372434654856
Fe_3,-0.0457595900200356
Fe_4,-0.08057467396068184
Fe_5,-0.12188626204209578
Fe_6,-0.1574478157064323
Cd_1,-0.01941735714742769
Cd_2,-0.028084406392648288
Cd_3,-0.02708682156970964
Cd_4,-0.013998479006906251
Cd_5,0.007966416938157491
Cd_6,0.04067256503840723
Zn_1,0.0035689884947074525
Zn_2,0.009776808315020744
Zn_3,0.021986550702823116
Zn_4,0.03524201076691148
Zn_5,0.04981229582815688
Zn_6,0.06225332190880086
Cu_1,0.003989976268935293
Cu_2,0.012734493742876326
Cu_3,0.019971861252105483
Cu_4,0.028462927594255512
Cu_5,0.03803225122461231
Cu_6,0.0498847734109026
Pb_1,0.004119908781090318
Pb_2,0.008463369923300363
Pb_3,0.015224771871629662
Pb_4,0.021739866950829374
Pb_5,0.02912324905333727
Pb_6,0.03961554145927031
