,condition,A_avg,A_std,n,rep1_idx,rep1_A
0,Cr__1,-0.0013297417019465824,,1.0,0.0,-0.0013297417019465824
1,Cr__2,-0.013041011181222388,,1.0,1.0,-0.013041011181222388
2,Cr__3,-0.016794127748762988,,1.0,2.0,-0.016794127748762988
3,Cr__4,-0.015314657342092818,,1.0,3.0,-0.015314657342092818
4,Cr__5,-0.014520593009978891,,1.0,4.0,-0.014520593009978891
5,Cr__6,-0.01809933986963637,,1.0,5.0,-0.01809933986963637
6,Fe__1,-0.05383560986044896,,1.0,6.0,-0.05383560986044896
7,Fe__2,-0.058190682386777486,,1.0,7.0,-0.058190682386777486
8,Fe__3,-0.1638862892805812,,1.0,8.0,-0.1638862892805812
9,Fe__4,-0.09835715412375437,,1.0,9.0,-0.09835715412375437
10,Fe__5,-0.09392965762281276,,1.0,10.0,-0.09392965762281276
11,Fe__6,-0.10233200552413264,,1.0,11.0,-0.10233200552413264
12,Cd__1,0.002595765448136098,,1.0,12.0,0.002595765448136098
13,Cd__2,-0.0019905973667298524,,1.0,13.0,-0.0019905973667298524
14,Cd__3,-0.003960557792515282,,1.0,14.0,-0.003960557792515282
15,Cd__4,-0.014452876814876694,,1.0,15.0,-0.014452876814876694
16,Cd__5,-0.024777051801961592,,1.0,16.0,-0.024777051801961592
17,Cd__6,-0.035403625635677075,,1.0,17.0,-0.035403625635677075
18,Zn__1,0.6150475165930139,,1.0,18.0,0.6150475165930139
19,Zn__2,3.6799278011523096,,1.0,19.0,3.6799278011523096
20,Zn__3,4.962795073727527,,1.0,20.0,4.962795073727527
21,Zn__4,5.311140968138913,,1.0,21.0,5.311140968138913
22,Zn__5,3.0577091683959026,,1.0,22.0,3.0577091683959026
23,Zn__6,2.038927276450468,,1.0,23.0,2.038927276450468
24,Cu__1,-0.007191327714686652,,1.0,24.0,-0.007191327714686652
25,Cu__2,-0.012388862905103758,,1.0,25.0,-0.012388862905103758
26,Cu__3,-0.010086141117141548,,1.0,26.0,-0.010086141117141548
27,Cu__4,0.00010548525416931832,,1.0,27.0,0.00010548525416931832
28,Cu__5,-0.0062933654569268934,,1.0,28.0,-0.0062933654569268934
29,Cu__6,-0.02941916930118957,,1.0,29.0,-0.02941916930118957
30,Pb__1,-0.009363343393575984,,1.0,30.0,-0.009363343393575984
31,Pb__2,0.006477843549588894,,1.0,31.0,0.006477843549588894
32,Pb__3,0.0006808766335002091,,1.0,32.0,0.0006808766335002091
33,Pb__4,-0.01645353241649692,,1.0,33.0,-0.01645353241649692
34,Pb__5,-0.03402134738385632,,1.0,34.0,-0.03402134738385632
35,Pb__6,-0.0424610179959774,,1.0,35.0,-0.0424610179959774
