,-0.229953246607175,-0.19162770550597918,-0.15330216440478336,-0.11497662330358754,-0.07665108220239172,-0.038325541101195904,-8.326672684688674e-17,0.038325541101195765,0.07665108220239156,0.11497662330358735,0.1533021644047832,0.19162770550597905,0.22995324660717484,0.26827878770837066,0.30660432880956656,0.34492986991076235,0.38325541101195815,0.42158095211315394,0.45990649321434973,0.49823203431554564
thresh,-0.24911601715777293,0.24911601715777293,1,,,,,,,,,,,,,,,,,
unreg,1,1,2,2,8,33,1723,24,4,1,1,1,0,1,0,1,1,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],['ribE'],[],['ylaB'],['nrfE'],['folX'],[],[]
